2026-01-03 18:44:23,400 | INFO | MainProcess | === Start solve() ===
2026-01-03 18:44:23,864 | INFO | Process-1 | Number of variables: 1352
2026-01-03 18:44:23,864 | INFO | Process-1 | Number of clauses: 17350
2026-01-03 18:44:23,864 | INFO | Process-1 | Real nums of clauses: 17351
2026-01-03 18:44:23,864 | INFO | Process-1 | Real nums of variables: 1350
2026-01-03 18:44:23,874 | INFO | Process-1 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w4.cnf
2026-01-03 18:44:23,874 | ERROR | Process-1 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-03 18:44:23,876 | RESULT | Process-1 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-03 18:44:23,922 | INFO | MainProcess | Found a solution 4
2026-01-03 18:44:23,922 | INFO | MainProcess | [Test k=23, w=4] Time: 0.51 seconds
2026-01-03 18:44:24,259 | INFO | MainProcess | Row appended to output/output_directencoding_cadical_no_symmetry22.xlsx
2026-01-03 18:44:24,858 | INFO | Process-2 | Number of variables: 1352
2026-01-03 18:44:24,859 | INFO | Process-2 | Number of clauses: 21264
2026-01-03 18:44:24,859 | INFO | Process-2 | Real nums of clauses: 21265
2026-01-03 18:44:24,859 | INFO | Process-2 | Real nums of variables: 1350
2026-01-03 18:44:24,870 | INFO | Process-2 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w5.cnf
2026-01-03 18:44:24,870 | ERROR | Process-2 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-03 18:44:24,951 | RESULT | Process-2 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-03 18:44:24,991 | INFO | MainProcess | Found a solution 5
2026-01-03 18:44:24,991 | INFO | MainProcess | [Test k=23, w=5] Time: 0.73 seconds
2026-01-03 18:44:25,032 | INFO | MainProcess | Row appended to output/output_directencoding_cadical_no_symmetry22.xlsx
2026-01-03 18:44:25,610 | INFO | Process-3 | Number of variables: 1352
2026-01-03 18:44:25,610 | INFO | Process-3 | Number of clauses: 24972
2026-01-03 18:44:25,610 | INFO | Process-3 | Real nums of clauses: 24973
2026-01-03 18:44:25,610 | INFO | Process-3 | Real nums of variables: 1350
2026-01-03 18:44:25,629 | INFO | Process-3 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w6.cnf
2026-01-03 18:44:25,629 | ERROR | Process-3 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-03 18:44:26,016 | RESULT | Process-3 | No solution exists
2026-01-03 18:44:26,017 | RESULT | Process-3 | Time taken: 0.431119441986084 seconds
2026-01-03 18:44:26,066 | INFO | MainProcess | No solution found 6
2026-01-03 18:44:26,066 | INFO | MainProcess | [Test k=23, w=6] Time: 1.03 seconds
2026-01-03 18:44:26,100 | INFO | MainProcess | Row appended to output/output_directencoding_cadical_no_symmetry22.xlsx
2026-01-03 18:44:26,140 | INFO | MainProcess | Row appended to output/output_directencoding_cadical_no_symmetry22.xlsx
2026-01-03 18:44:26,140 | INFO | MainProcess | $$$$
2026-01-03 18:44:26,140 | INFO | MainProcess | 5
2026-01-03 18:44:26,140 | INFO | MainProcess | $$$$
2026-01-03 18:44:26,140 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 2.7385051250457764 seconds
2026-01-03 18:44:26,140 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2026-01-03 18:44:26,591 | INFO | Process-4 | Number of variables: 1122
2026-01-03 18:44:26,591 | INFO | Process-4 | Number of clauses: 14430
2026-01-03 18:44:26,591 | INFO | Process-4 | Real nums of clauses: 14431
2026-01-03 18:44:26,591 | INFO | Process-4 | Real nums of variables: 1120
2026-01-03 18:44:26,601 | INFO | Process-4 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w5.cnf
2026-01-03 18:44:26,601 | ERROR | Process-4 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-03 18:44:26,602 | RESULT | Process-4 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-03 18:44:26,643 | INFO | MainProcess | Found a solution 5
2026-01-03 18:44:26,643 | INFO | MainProcess | [Test k=18, w=5] Time: 0.5 seconds
2026-01-03 18:44:26,682 | INFO | MainProcess | Row appended to output/output_directencoding_cadical_no_symmetry22.xlsx
2026-01-03 18:44:27,206 | INFO | Process-5 | Number of variables: 1122
2026-01-03 18:44:27,206 | INFO | Process-5 | Number of clauses: 16770
2026-01-03 18:44:27,206 | INFO | Process-5 | Real nums of clauses: 16771
2026-01-03 18:44:27,206 | INFO | Process-5 | Real nums of variables: 1120
