2025-11-18 17:07:18,254 | INFO | MainProcess | === Start solve() ===
2025-11-18 17:33:06,389 | INFO | Process-1 | Number of variables: 313877
2025-11-18 17:33:06,418 | INFO | Process-1 | Number of clauses: 155059830
2025-11-18 17:37:30,446 | INFO | Process-1 | CNF written to cnf/v2/V_n675_k405/V_n675_k405_w195.cnf
2025-11-18 17:37:30,480 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/V_n675_k405/V_n675_k405_w195.cnf
2025-11-18 17:38:02,146 | INFO | MainProcess | No solution found 195
2025-11-18 17:38:02,163 | INFO | MainProcess | [Test k=405, w=195] Time: 1843.87 seconds
2025-11-18 17:38:04,884 | INFO | MainProcess | Row appended to output/output_directencoding_painless.xlsx
2025-11-18 17:38:04,921 | INFO | MainProcess | Row appended to output/output_directencoding_painless.xlsx
2025-11-18 17:38:04,921 | INFO | MainProcess | $$$$
2025-11-18 17:38:04,921 | INFO | MainProcess | -9999
2025-11-18 17:38:04,921 | INFO | MainProcess | $$$$
2025-11-18 17:38:04,922 | INFO | MainProcess | Time taken for V-nos6.mtx.rnd with k = 405: 1846.6653368473053 seconds
2025-11-18 17:38:04,922 | INFO | MainProcess | No answer before timeout for V-nos6.mtx.rnd
2025-11-18 17:38:04,922 | INFO | MainProcess | time out
2025-11-18 17:42:09,824 | INFO | Process-2 | Number of variables: 311677
2025-11-18 17:42:09,874 | INFO | Process-2 | Number of clauses: 71809870
2025-11-18 17:44:09,006 | INFO | Process-2 | CNF written to cnf/v2/W_n685_k397/W_n685_k397_w78.cnf
2025-11-18 17:44:09,025 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/W_n685_k397/W_n685_k397_w78.cnf
2025-11-18 17:47:42,958 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=213.93s
2025-11-18 17:47:42,980 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=213.93s rc=10
2025-11-18 17:47:42,986 | RESULT | Process-2 | [PAINLESS] Shortcut: SAT at width=78
2025-11-18 17:47:42,992 | RESULT | Process-2 | Time taken: 578.048136472702 seconds
2025-11-18 17:50:44,617 | INFO | MainProcess | Found a solution 78
2025-11-18 17:50:44,626 | INFO | MainProcess | [Test k=397, w=78] Time: 759.68 seconds
2025-11-18 17:50:44,992 | INFO | MainProcess | Row appended to output/output_directencoding_painless.xlsx
2025-11-18 17:52:20,044 | INFO | Process-3 | Number of variables: 311677
2025-11-18 17:52:20,068 | INFO | Process-3 | Number of clauses: 72627786
2025-11-18 17:53:39,000 | INFO | Process-3 | CNF written to cnf/v2/W_n685_k397/W_n685_k397_w79.cnf
2025-11-18 17:53:39,038 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/W_n685_k397/W_n685_k397_w79.cnf
2025-11-18 17:56:45,476 | INFO | Process-3 | [PAINLESS] status=SAT rc=10 time=186.43s
2025-11-18 17:56:45,497 | RESULT | Process-3 | [PAINLESS] result: status=SAT time=186.43s rc=10
2025-11-18 17:56:45,502 | RESULT | Process-3 | [PAINLESS] Shortcut: SAT at width=79
2025-11-18 17:56:45,503 | RESULT | Process-3 | Time taken: 360.4995667934418 seconds
2025-11-18 17:59:21,449 | INFO | MainProcess | Found a solution 79
2025-11-18 17:59:21,467 | INFO | MainProcess | [Test k=397, w=79] Time: 516.45 seconds
2025-11-18 17:59:21,837 | INFO | MainProcess | Row appended to output/output_directencoding_painless.xlsx
2025-11-18 18:00:59,800 | INFO | Process-4 | Number of variables: 311677
2025-11-18 18:00:59,821 | INFO | Process-4 | Number of clauses: 73443138
2025-11-18 18:02:17,188 | INFO | Process-4 | CNF written to cnf/v2/W_n685_k397/W_n685_k397_w80.cnf
2025-11-18 18:02:17,285 | INFO | Process-4 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/W_n685_k397/W_n685_k397_w80.cnf
2025-11-18 18:08:23,691 | INFO | MainProcess | No solution found 80
2025-11-18 18:08:23,714 | INFO | MainProcess | [Test k=397, w=80] Time: 541.84 seconds
2025-11-18 18:08:24,135 | INFO | MainProcess | Row appended to output/output_directencoding_painless.xlsx
2025-11-18 18:08:24,181 | INFO | MainProcess | Row appended to output/output_directencoding_painless.xlsx
2025-11-18 18:08:24,182 | INFO | MainProcess | $$$$
2025-11-18 18:08:24,182 | INFO | MainProcess | -79
2025-11-18 18:08:24,183 | INFO | MainProcess | $$$$
2025-11-18 18:08:24,183 | INFO | MainProcess | Time taken for W-685_bus.mtx.rnd with k = 397: 1819.2606015205383 seconds
2025-11-18 18:08:24,183 | INFO | MainProcess | Maximum width before timeout for W-685_bus.mtx.rnd is 79
2025-11-18 18:08:24,183 | INFO | MainProcess | time out
2025-11-18 18:39:27,032 | INFO | MainProcess | No solution found 78
2025-11-18 18:39:27,050 | INFO | MainProcess | [Test k=500, w=78] Time: 1862.82 seconds
