2026-01-01 19:19:24,769 | INFO | MainProcess | === Start solve() ===
2026-01-01 19:19:24,834 | INFO | Process-1 | Number of variables: 1352
2026-01-01 19:19:24,835 | INFO | Process-1 | Number of clauses: 17350
2026-01-01 19:19:24,837 | INFO | Process-1 | Real nums of clauses: 17351
2026-01-01 19:19:24,839 | INFO | Process-1 | Real nums of variables: 1350
2026-01-01 19:19:24,925 | INFO | Process-1 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2026-01-01 19:19:24,933 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2026-01-01 19:19:25,097 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=0.16s
2026-01-01 19:19:25,097 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=0.16s rc=10
2026-01-01 19:19:25,098 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-01 19:19:25,104 | INFO | MainProcess | Found a solution 4
2026-01-01 19:19:25,110 | INFO | MainProcess | [Test k=23, w=4] Time: 0.32 seconds
2026-01-01 19:19:28,015 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry.xlsx
2026-01-01 19:19:28,037 | INFO | Process-2 | Number of variables: 1352
2026-01-01 19:19:28,042 | INFO | Process-2 | Number of clauses: 21264
2026-01-01 19:19:28,043 | INFO | Process-2 | Real nums of clauses: 21265
2026-01-01 19:19:28,047 | INFO | Process-2 | Real nums of variables: 1350
2026-01-01 19:19:28,091 | INFO | Process-2 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2026-01-01 19:19:28,092 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2026-01-01 19:19:28,248 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=0.16s
2026-01-01 19:19:28,248 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=0.16s rc=10
2026-01-01 19:19:28,250 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-01 19:19:28,255 | INFO | MainProcess | Found a solution 5
2026-01-01 19:19:28,255 | INFO | MainProcess | [Test k=23, w=5] Time: 0.24 seconds
2026-01-01 19:19:28,325 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry.xlsx
2026-01-01 19:19:28,348 | INFO | Process-3 | Number of variables: 1352
2026-01-01 19:19:28,350 | INFO | Process-3 | Number of clauses: 24972
2026-01-01 19:19:28,351 | INFO | Process-3 | Real nums of clauses: 24973
2026-01-01 19:19:28,351 | INFO | Process-3 | Real nums of variables: 1350
2026-01-01 19:19:28,398 | INFO | Process-3 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w6.cnf
2026-01-01 19:19:28,399 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w6.cnf
2026-01-01 19:19:28,695 | INFO | Process-3 | [PAINLESS] status=UNSAT rc=20 time=0.30s
2026-01-01 19:19:28,696 | RESULT | Process-3 | [PAINLESS] result: status=UNSAT time=0.30s rc=20
2026-01-01 19:19:28,696 | RESULT | Process-3 | [PAINLESS] Shortcut: UNSAT at width=6
2026-01-01 19:19:28,696 | RESULT | Process-3 | Time taken: 0.36437392234802246 seconds
2026-01-01 19:19:28,701 | INFO | MainProcess | No solution found 6
2026-01-01 19:19:28,701 | INFO | MainProcess | [Test k=23, w=6] Time: 0.38 seconds
2026-01-01 19:19:28,779 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry.xlsx
2026-01-01 19:19:28,860 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry.xlsx
2026-01-01 19:19:28,860 | INFO | MainProcess | $$$$
2026-01-01 19:19:28,860 | INFO | MainProcess | 5
2026-01-01 19:19:28,863 | INFO | MainProcess | $$$$
2026-01-01 19:19:28,864 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 4.092556476593018 seconds
2026-01-01 19:19:28,865 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2026-01-01 19:19:28,896 | INFO | Process-4 | Number of variables: 1122
2026-01-01 19:19:28,896 | INFO | Process-4 | Number of clauses: 14430
2026-01-01 19:19:28,897 | INFO | Process-4 | Real nums of clauses: 14431
2026-01-01 19:19:28,898 | INFO | Process-4 | Real nums of variables: 1120
2026-01-01 19:19:28,959 | INFO | Process-4 | CNF written to cnf/v2/B_n32_k18/B_n32_k18_w5.cnf
2026-01-01 19:19:28,959 | INFO | Process-4 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/B_n32_k18/B_n32_k18_w5.cnf
2026-01-01 19:19:29,088 | INFO | Process-4 | [PAINLESS] status=SAT rc=10 time=0.13s
2026-01-01 19:19:29,089 | RESULT | Process-4 | [PAINLESS] result: status=SAT time=0.13s rc=10
2026-01-01 19:19:29,095 | RESULT | Process-4 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-01 19:19:29,105 | INFO | MainProcess | Found a solution 5
2026-01-01 19:19:29,106 | INFO | MainProcess | [Test k=18, w=5] Time: 0.22 seconds
2026-01-01 19:19:29,168 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry.xlsx
2026-01-01 19:19:29,187 | INFO | Process-5 | Number of variables: 1122
2026-01-01 19:19:29,189 | INFO | Process-5 | Number of clauses: 16770
2026-01-01 19:19:29,189 | INFO | Process-5 | Real nums of clauses: 16771
2026-01-01 19:19:29,191 | INFO | Process-5 | Real nums of variables: 1120
2026-01-01 19:19:29,229 | INFO | Process-5 | CNF written to cnf/v2/B_n32_k18/B_n32_k18_w6.cnf
2026-01-01 19:19:29,235 | INFO | Process-5 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/B_n32_k18/B_n32_k18_w6.cnf
2026-01-01 19:19:29,378 | INFO | Process-5 | [PAINLESS] status=UNSAT rc=20 time=0.14s
2026-01-01 19:19:29,379 | RESULT | Process-5 | [PAINLESS] result: status=UNSAT time=0.14s rc=20
2026-01-01 19:19:29,379 | RESULT | Process-5 | [PAINLESS] Shortcut: UNSAT at width=6
2026-01-01 19:19:29,379 | RESULT | Process-5 | Time taken: 0.2034149169921875 seconds
2026-01-01 19:19:29,383 | INFO | MainProcess | No solution found 6
2026-01-01 19:19:29,383 | INFO | MainProcess | [Test k=18, w=6] Time: 0.21 seconds
2026-01-01 19:19:29,428 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry.xlsx
2026-01-01 19:19:29,478 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry.xlsx
2026-01-01 19:19:29,479 | INFO | MainProcess | $$$$
