2026-01-02 17:39:33,452 | INFO | MainProcess | === Start solve() ===
2026-01-02 17:40:10,343 | INFO | Process-1 | Number of variables: 295927
2026-01-02 17:40:10,359 | INFO | Process-1 | Number of clauses: 59295051
2026-01-02 17:40:10,359 | INFO | Process-1 | Real nums of clauses: 59295052
2026-01-02 17:40:10,359 | INFO | Process-1 | Real nums of variables: 295925
2026-01-02 17:40:46,876 | INFO | Process-1 | CNF written to cnf/v2/P_n445_k333/P_n445_k333_w58.cnf
2026-01-02 17:40:46,891 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/P_n445_k333/P_n445_k333_w58.cnf
2026-01-02 17:45:18,595 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=271.70s
2026-01-02 17:45:18,609 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=271.70s rc=10
2026-01-02 17:45:18,666 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-02 17:46:44,338 | INFO | MainProcess | Found a solution 58
2026-01-02 17:46:44,350 | INFO | MainProcess | [Test k=333, w=58] Time: 430.87 seconds
2026-01-02 17:46:46,373 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry2.xlsx
2026-01-02 17:47:27,302 | INFO | Process-2 | Number of variables: 295927
2026-01-02 17:47:27,321 | INFO | Process-2 | Number of clauses: 60220151
2026-01-02 17:47:27,322 | INFO | Process-2 | Real nums of clauses: 60220152
2026-01-02 17:47:27,322 | INFO | Process-2 | Real nums of variables: 295925
2026-01-02 17:48:12,712 | INFO | Process-2 | CNF written to cnf/v2/P_n445_k333/P_n445_k333_w59.cnf
2026-01-02 17:48:12,727 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/P_n445_k333/P_n445_k333_w59.cnf
2026-01-02 17:56:45,301 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=512.57s
2026-01-02 17:56:45,316 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=512.57s rc=10
2026-01-02 17:56:45,373 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-02 17:58:39,919 | INFO | MainProcess | Found a solution 59
2026-01-02 17:58:39,926 | INFO | MainProcess | [Test k=333, w=59] Time: 713.54 seconds
2026-01-02 17:58:40,217 | INFO | MainProcess | Row appended to output/output_directencoding_painless_no_symmetry2.xlsx
2026-01-02 17:59:21,568 | INFO | Process-3 | Number of variables: 295927
2026-01-02 17:59:21,589 | INFO | Process-3 | Number of clauses: 61141887
2026-01-02 17:59:21,589 | INFO | Process-3 | Real nums of clauses: 61141888
2026-01-02 17:59:21,590 | INFO | Process-3 | Real nums of variables: 295925
