2025-10-20 22:51:45,319 | INFO | MainProcess | === Start solve() ===
2025-10-20 22:51:45,339 | INFO | Process-1 | Number of variables: 1772
2025-10-20 22:51:45,339 | INFO | Process-1 | Number of clauses: 10445
2025-10-20 22:51:45,346 | INFO | Process-1 | CNF written to cnf/K_n30_k23/K_n30_k23_w4.cnf
2025-10-20 22:51:45,350 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n30_k23/K_n30_k23_w4.cnf
2025-10-20 22:51:45,411 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=0.06s
2025-10-20 22:51:45,412 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=0.06s rc=10
2025-10-20 22:51:45,413 | RESULT | Process-1 | [PAINLESS] Shortcut: SAT at width=4
2025-10-20 22:51:45,414 | RESULT | Process-1 | Time taken: 0.08689355850219727 seconds
2025-10-20 22:51:45,418 | INFO | MainProcess | Found a solution 4
2025-10-20 22:51:45,418 | INFO | MainProcess | [Test k=23, w=4] Time: 0.1 seconds
2025-10-20 22:51:45,437 | INFO | Process-2 | Number of variables: 1772
2025-10-20 22:51:45,438 | INFO | Process-2 | Number of clauses: 10350
2025-10-20 22:51:45,449 | INFO | Process-2 | CNF written to cnf/K_n30_k23/K_n30_k23_w5.cnf
2025-10-20 22:51:45,454 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n30_k23/K_n30_k23_w5.cnf
2025-10-20 22:51:45,508 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=0.05s
2025-10-20 22:51:45,508 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=0.05s rc=10
2025-10-20 22:51:45,508 | RESULT | Process-2 | [PAINLESS] Shortcut: SAT at width=5
2025-10-20 22:51:45,509 | RESULT | Process-2 | Time taken: 0.08686137199401855 seconds
2025-10-20 22:51:45,510 | INFO | MainProcess | Found a solution 5
2025-10-20 22:51:45,511 | INFO | MainProcess | [Test k=23, w=5] Time: 0.09 seconds
2025-10-20 22:51:45,519 | INFO | Process-3 | Number of variables: 1681
2025-10-20 22:51:45,520 | INFO | Process-3 | Number of clauses: 10066
2025-10-20 22:51:45,528 | INFO | Process-3 | CNF written to cnf/K_n30_k23/K_n30_k23_w6.cnf
2025-10-20 22:51:45,541 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n30_k23/K_n30_k23_w6.cnf
2025-10-20 22:51:45,592 | INFO | Process-3 | [PAINLESS] status=UNSAT rc=20 time=0.05s
2025-10-20 22:51:45,592 | RESULT | Process-3 | [PAINLESS] result: status=UNSAT time=0.05s rc=20
2025-10-20 22:51:45,592 | RESULT | Process-3 | [PAINLESS] Shortcut: UNSAT at width=6
2025-10-20 22:51:45,593 | RESULT | Process-3 | Time taken: 0.08022379875183105 seconds
2025-10-20 22:51:45,594 | INFO | MainProcess | No solution found 6
2025-10-20 22:51:45,595 | INFO | MainProcess | [Test k=23, w=6] Time: 0.08 seconds
2025-10-20 22:51:45,595 | INFO | MainProcess | $$$$
2025-10-20 22:51:45,595 | INFO | MainProcess | 5
2025-10-20 22:51:45,595 | INFO | MainProcess | $$$$
2025-10-20 22:51:45,595 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 0.27459216117858887 seconds
2025-10-20 22:51:45,595 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2025-10-20 22:51:45,605 | INFO | Process-4 | Number of variables: 1409
2025-10-20 22:51:45,605 | INFO | Process-4 | Number of clauses: 7133
2025-10-20 22:51:45,611 | INFO | Process-4 | CNF written to cnf/K_n32_k18/K_n32_k18_w5.cnf
2025-10-20 22:51:45,615 | INFO | Process-4 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n32_k18/K_n32_k18_w5.cnf
2025-10-20 22:51:45,667 | INFO | Process-4 | [PAINLESS] status=SAT rc=10 time=0.05s
2025-10-20 22:51:45,667 | RESULT | Process-4 | [PAINLESS] result: status=SAT time=0.05s rc=10
2025-10-20 22:51:45,667 | RESULT | Process-4 | [PAINLESS] Shortcut: SAT at width=5
2025-10-20 22:51:45,667 | RESULT | Process-4 | Time taken: 0.06837701797485352 seconds
2025-10-20 22:51:45,669 | INFO | MainProcess | Found a solution 5
2025-10-20 22:51:45,669 | INFO | MainProcess | [Test k=18, w=5] Time: 0.07 seconds
2025-10-20 22:51:45,677 | INFO | Process-5 | Number of variables: 1313
2025-10-20 22:51:45,677 | INFO | Process-5 | Number of clauses: 6413
2025-10-20 22:51:45,683 | INFO | Process-5 | CNF written to cnf/K_n32_k18/K_n32_k18_w6.cnf
2025-10-20 22:51:45,686 | INFO | Process-5 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n32_k18/K_n32_k18_w6.cnf
2025-10-20 22:51:45,740 | INFO | Process-5 | [PAINLESS] status=UNSAT rc=20 time=0.05s
2025-10-20 22:51:45,740 | RESULT | Process-5 | [PAINLESS] result: status=UNSAT time=0.05s rc=20
2025-10-20 22:51:45,740 | RESULT | Process-5 | [PAINLESS] Shortcut: UNSAT at width=6
2025-10-20 22:51:45,740 | RESULT | Process-5 | Time taken: 0.06946444511413574 seconds
2025-10-20 22:51:45,742 | INFO | MainProcess | No solution found 6
2025-10-20 22:51:45,743 | INFO | MainProcess | [Test k=18, w=6] Time: 0.07 seconds
2025-10-20 22:51:45,743 | INFO | MainProcess | $$$$
2025-10-20 22:51:45,743 | INFO | MainProcess | 5
2025-10-20 22:51:45,743 | INFO | MainProcess | $$$$
2025-10-20 22:51:45,743 | INFO | MainProcess | Time taken for B-ibm32.mtx.rnd with k = 18: 0.1476590633392334 seconds
2025-10-20 22:51:45,743 | INFO | MainProcess | Maximum width for B-ibm32.mtx.rnd is 5
2025-10-20 22:51:45,753 | INFO | Process-6 | Number of variables: 1912
2025-10-20 22:51:45,756 | INFO | Process-6 | Number of clauses: 6406
2025-10-20 22:51:45,803 | INFO | Process-6 | CNF written to cnf/K_n39_k21/K_n39_k21_w8.cnf
2025-10-20 22:51:45,845 | INFO | Process-6 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n39_k21/K_n39_k21_w8.cnf
2025-10-20 22:51:45,894 | INFO | Process-6 | [PAINLESS] status=SAT rc=10 time=0.05s
2025-10-20 22:51:45,894 | RESULT | Process-6 | [PAINLESS] result: status=SAT time=0.05s rc=10
2025-10-20 22:51:45,894 | RESULT | Process-6 | [PAINLESS] Shortcut: SAT at width=8
2025-10-20 22:51:45,894 | RESULT | Process-6 | Time taken: 0.14805054664611816 seconds
2025-10-20 22:51:45,896 | INFO | MainProcess | Found a solution 8
2025-10-20 22:51:45,897 | INFO | MainProcess | [Test k=21, w=8] Time: 0.15 seconds
2025-10-20 22:51:45,907 | INFO | Process-7 | Number of variables: 1951
2025-10-20 22:51:45,907 | INFO | Process-7 | Number of clauses: 6379
2025-10-20 22:51:45,915 | INFO | Process-7 | CNF written to cnf/K_n39_k21/K_n39_k21_w9.cnf
2025-10-20 22:51:45,921 | INFO | Process-7 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n39_k21/K_n39_k21_w9.cnf
2025-10-20 22:51:45,970 | INFO | Process-7 | [PAINLESS] status=SAT rc=10 time=0.05s
2025-10-20 22:51:45,970 | RESULT | Process-7 | [PAINLESS] result: status=SAT time=0.05s rc=10
2025-10-20 22:51:45,970 | RESULT | Process-7 | [PAINLESS] Shortcut: SAT at width=9
2025-10-20 22:51:45,970 | RESULT | Process-7 | Time taken: 0.07139873504638672 seconds
2025-10-20 22:51:45,972 | INFO | MainProcess | Found a solution 9
2025-10-20 22:51:45,972 | INFO | MainProcess | [Test k=21, w=9] Time: 0.08 seconds
2025-10-20 22:51:45,980 | INFO | Process-8 | Number of variables: 1990
2025-10-20 22:51:45,980 | INFO | Process-8 | Number of clauses: 6366
2025-10-20 22:51:45,985 | INFO | Process-8 | CNF written to cnf/K_n39_k21/K_n39_k21_w10.cnf
2025-10-20 22:51:45,989 | INFO | Process-8 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n39_k21/K_n39_k21_w10.cnf
2025-10-20 22:51:46,037 | INFO | Process-8 | [PAINLESS] status=SAT rc=10 time=0.05s
2025-10-20 22:51:46,037 | RESULT | Process-8 | [PAINLESS] result: status=SAT time=0.05s rc=10
2025-10-20 22:51:46,037 | RESULT | Process-8 | [PAINLESS] Shortcut: SAT at width=10
2025-10-20 22:51:46,037 | RESULT | Process-8 | Time taken: 0.06349444389343262 seconds
2025-10-20 22:51:46,039 | INFO | MainProcess | Found a solution 10
2025-10-20 22:51:46,039 | INFO | MainProcess | [Test k=21, w=10] Time: 0.07 seconds
2025-10-20 22:51:46,046 | INFO | Process-9 | Number of variables: 1639
2025-10-20 22:51:46,046 | INFO | Process-9 | Number of clauses: 4133
2025-10-20 22:51:46,051 | INFO | Process-9 | CNF written to cnf/K_n39_k21/K_n39_k21_w11.cnf
2025-10-20 22:51:46,054 | INFO | Process-9 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/K_n39_k21/K_n39_k21_w11.cnf
2025-10-20 22:51:46,103 | INFO | Process-9 | [PAINLESS] status=UNSAT rc=20 time=0.05s
2025-10-20 22:51:46,103 | RESULT | Process-9 | [PAINLESS] result: status=UNSAT time=0.05s rc=20
2025-10-20 22:51:46,103 | RESULT | Process-9 | [PAINLESS] Shortcut: UNSAT at width=11
2025-10-20 22:51:46,103 | RESULT | Process-9 | Time taken: 0.0625772476196289 seconds
2025-10-20 22:51:46,105 | INFO | MainProcess | No solution found 11
2025-10-20 22:51:46,105 | INFO | MainProcess | [Test k=21, w=11] Time: 0.07 seconds
2025-10-20 22:51:46,106 | INFO | MainProcess | $$$$
2025-10-20 22:51:46,106 | INFO | MainProcess | 10
2025-10-20 22:51:46,106 | INFO | MainProcess | $$$$
