2025-10-21 10:28:47,729 | INFO | MainProcess | === Start solve() ===
2025-10-21 10:28:47,747 | INFO | Process-1 | Number of variables: 1772
2025-10-21 10:28:47,747 | INFO | Process-1 | Number of clauses: 10445
2025-10-21 10:28:47,756 | INFO | Process-1 | CNF written to cnf/A_n30_k23/A_n30_k23_w4.cnf
2025-10-21 10:28:47,769 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/A_n30_k23/A_n30_k23_w4.cnf
2025-10-21 10:28:47,826 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=0.06s
2025-10-21 10:28:47,826 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=0.06s rc=10
2025-10-21 10:28:47,826 | RESULT | Process-1 | [PAINLESS] Shortcut: SAT at width=4
2025-10-21 10:28:47,827 | RESULT | Process-1 | Time taken: 0.09076237678527832 seconds
2025-10-21 10:28:47,828 | INFO | MainProcess | Found a solution 4
2025-10-21 10:28:47,829 | INFO | MainProcess | [Test k=23, w=4] Time: 0.1 seconds
2025-10-21 10:28:47,837 | INFO | Process-2 | Number of variables: 1772
2025-10-21 10:28:47,838 | INFO | Process-2 | Number of clauses: 10350
2025-10-21 10:28:47,845 | INFO | Process-2 | CNF written to cnf/A_n30_k23/A_n30_k23_w5.cnf
2025-10-21 10:28:47,853 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/A_n30_k23/A_n30_k23_w5.cnf
2025-10-21 10:28:47,903 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=0.05s
2025-10-21 10:28:47,903 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=0.05s rc=10
2025-10-21 10:28:47,903 | RESULT | Process-2 | [PAINLESS] Shortcut: SAT at width=5
2025-10-21 10:28:47,903 | RESULT | Process-2 | Time taken: 0.0730433464050293 seconds
2025-10-21 10:28:47,905 | INFO | MainProcess | Found a solution 5
2025-10-21 10:28:47,905 | INFO | MainProcess | [Test k=23, w=5] Time: 0.08 seconds
2025-10-21 10:28:47,914 | INFO | Process-3 | Number of variables: 1681
2025-10-21 10:28:47,914 | INFO | Process-3 | Number of clauses: 10066
2025-10-21 10:28:47,921 | INFO | Process-3 | CNF written to cnf/A_n30_k23/A_n30_k23_w6.cnf
2025-10-21 10:28:47,936 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/A_n30_k23/A_n30_k23_w6.cnf
2025-10-21 10:28:47,987 | INFO | Process-3 | [PAINLESS] status=UNSAT rc=20 time=0.05s
2025-10-21 10:28:47,988 | RESULT | Process-3 | [PAINLESS] result: status=UNSAT time=0.05s rc=20
2025-10-21 10:28:47,988 | RESULT | Process-3 | [PAINLESS] Shortcut: UNSAT at width=6
2025-10-21 10:28:47,988 | RESULT | Process-3 | Time taken: 0.08055400848388672 seconds
2025-10-21 10:28:47,989 | INFO | MainProcess | No solution found 6
2025-10-21 10:28:47,990 | INFO | MainProcess | [Test k=23, w=6] Time: 0.08 seconds
2025-10-21 10:28:47,990 | INFO | MainProcess | $$$$
2025-10-21 10:28:47,990 | INFO | MainProcess | 5
2025-10-21 10:28:47,990 | INFO | MainProcess | $$$$
2025-10-21 10:28:47,990 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 0.25955629348754883 seconds
2025-10-21 10:28:47,990 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2025-10-21 10:28:48,005 | INFO | Process-4 | Number of variables: 1409
2025-10-21 10:28:48,005 | INFO | Process-4 | Number of clauses: 7133
2025-10-21 10:28:48,011 | INFO | Process-4 | CNF written to cnf/B_n32_k18/B_n32_k18_w5.cnf
2025-10-21 10:28:48,015 | INFO | Process-4 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/B_n32_k18/B_n32_k18_w5.cnf
2025-10-21 10:28:48,061 | INFO | Process-4 | [PAINLESS] status=SAT rc=10 time=0.05s
2025-10-21 10:28:48,061 | RESULT | Process-4 | [PAINLESS] result: status=SAT time=0.05s rc=10
2025-10-21 10:28:48,061 | RESULT | Process-4 | [PAINLESS] Shortcut: SAT at width=5
2025-10-21 10:28:48,061 | RESULT | Process-4 | Time taken: 0.06243443489074707 seconds
2025-10-21 10:28:48,063 | INFO | MainProcess | Found a solution 5
2025-10-21 10:28:48,063 | INFO | MainProcess | [Test k=18, w=5] Time: 0.07 seconds
2025-10-21 10:28:48,070 | INFO | Process-5 | Number of variables: 1313
2025-10-21 10:28:48,070 | INFO | Process-5 | Number of clauses: 6413
2025-10-21 10:28:48,075 | INFO | Process-5 | CNF written to cnf/B_n32_k18/B_n32_k18_w6.cnf
2025-10-21 10:28:48,079 | INFO | Process-5 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/B_n32_k18/B_n32_k18_w6.cnf
2025-10-21 10:28:48,124 | INFO | Process-5 | [PAINLESS] status=UNSAT rc=20 time=0.05s
2025-10-21 10:28:48,124 | RESULT | Process-5 | [PAINLESS] result: status=UNSAT time=0.05s rc=20
2025-10-21 10:28:48,124 | RESULT | Process-5 | [PAINLESS] Shortcut: UNSAT at width=6
2025-10-21 10:28:48,124 | RESULT | Process-5 | Time taken: 0.059479475021362305 seconds
2025-10-21 10:28:48,126 | INFO | MainProcess | No solution found 6
2025-10-21 10:28:48,126 | INFO | MainProcess | [Test k=18, w=6] Time: 0.06 seconds
2025-10-21 10:28:48,126 | INFO | MainProcess | $$$$
2025-10-21 10:28:48,126 | INFO | MainProcess | 5
2025-10-21 10:28:48,126 | INFO | MainProcess | $$$$
2025-10-21 10:28:48,127 | INFO | MainProcess | Time taken for B-ibm32.mtx.rnd with k = 18: 0.13634610176086426 seconds
2025-10-21 10:28:48,127 | INFO | MainProcess | Maximum width for B-ibm32.mtx.rnd is 5
2025-10-21 10:28:48,144 | INFO | Process-6 | Number of variables: 1912
2025-10-21 10:28:48,144 | INFO | Process-6 | Number of clauses: 6406
