2025-12-18 15:56:56,267 | INFO | MainProcess | === Start solve() ===
2025-12-18 15:56:56,647 | INFO | Process-1 | Number of variables: 2042
2025-12-18 15:56:56,647 | INFO | Process-1 | Number of clauses: 9441
2025-12-18 15:56:56,653 | INFO | Process-1 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w4.cnf
2025-12-18 15:56:56,653 | ERROR | Process-1 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-18 15:56:56,654 | RESULT | Process-1 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-18 15:56:56,682 | INFO | MainProcess | Found a solution 4
2025-12-18 15:56:56,682 | INFO | MainProcess | [Test k=23, w=4] Time: 0.42 seconds
2025-12-18 15:56:57,084 | INFO | Process-2 | Number of variables: 2042
2025-12-18 15:56:57,084 | INFO | Process-2 | Number of clauses: 9441
2025-12-18 15:56:57,089 | INFO | Process-2 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w5.cnf
2025-12-18 15:56:57,089 | ERROR | Process-2 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-18 15:56:57,093 | RESULT | Process-2 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-18 15:56:57,121 | INFO | MainProcess | Found a solution 5
2025-12-18 15:56:57,122 | INFO | MainProcess | [Test k=23, w=5] Time: 0.44 seconds
2025-12-18 15:56:57,650 | INFO | Process-3 | Number of variables: 2042
2025-12-18 15:56:57,650 | INFO | Process-3 | Number of clauses: 9441
2025-12-18 15:56:57,659 | INFO | Process-3 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w6.cnf
2025-12-18 15:56:57,659 | ERROR | Process-3 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-18 15:56:57,674 | RESULT | Process-3 | No solution exists
2025-12-18 15:56:57,674 | RESULT | Process-3 | Time taken: 0.03611040115356445 seconds
2025-12-18 15:56:57,714 | INFO | MainProcess | No solution found 6
2025-12-18 15:56:57,715 | INFO | MainProcess | [Test k=23, w=6] Time: 0.59 seconds
2025-12-18 15:56:57,715 | INFO | MainProcess | $$$$
2025-12-18 15:56:57,715 | INFO | MainProcess | 5
2025-12-18 15:56:57,715 | INFO | MainProcess | $$$$
2025-12-18 15:56:57,715 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 1.448411464691162 seconds
2025-12-18 15:56:57,715 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2025-12-18 15:56:58,284 | INFO | Process-4 | Number of variables: 1698
2025-12-18 15:56:58,284 | INFO | Process-4 | Number of clauses: 7130
2025-12-18 15:56:58,289 | INFO | Process-4 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w5.cnf
2025-12-18 15:56:58,289 | ERROR | Process-4 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-18 15:56:58,291 | RESULT | Process-4 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-18 15:56:58,327 | INFO | MainProcess | Found a solution 5
2025-12-18 15:56:58,327 | INFO | MainProcess | [Test k=18, w=5] Time: 0.61 seconds
2025-12-18 15:56:58,818 | INFO | Process-5 | Number of variables: 1698
2025-12-18 15:56:58,818 | INFO | Process-5 | Number of clauses: 7130
2025-12-18 15:56:58,825 | INFO | Process-5 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w6.cnf
2025-12-18 15:56:58,825 | ERROR | Process-5 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-18 15:56:58,831 | RESULT | Process-5 | No solution exists
2025-12-18 15:56:58,831 | RESULT | Process-5 | Time taken: 0.022002220153808594 seconds
2025-12-18 15:56:58,871 | INFO | MainProcess | No solution found 6
2025-12-18 15:56:58,871 | INFO | MainProcess | [Test k=18, w=6] Time: 0.54 seconds
2025-12-18 15:56:58,871 | INFO | MainProcess | $$$$
2025-12-18 15:56:58,872 | INFO | MainProcess | 5
2025-12-18 15:56:58,872 | INFO | MainProcess | $$$$
2025-12-18 15:56:58,872 | INFO | MainProcess | Time taken for B-ibm32.mtx.rnd with k = 18: 1.1571359634399414 seconds
2025-12-18 15:56:58,872 | INFO | MainProcess | Maximum width for B-ibm32.mtx.rnd is 5
2025-12-18 15:56:59,371 | INFO | Process-6 | Number of variables: 2420
2025-12-18 15:56:59,371 | INFO | Process-6 | Number of clauses: 7491
2025-12-18 15:56:59,378 | INFO | Process-6 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w8.cnf
2025-12-18 15:56:59,378 | ERROR | Process-6 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-18 15:56:59,390 | RESULT | Process-6 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-18 15:56:59,427 | INFO | MainProcess | Found a solution 8
2025-12-18 15:56:59,428 | INFO | MainProcess | [Test k=21, w=8] Time: 0.55 seconds
2025-12-18 15:56:59,944 | INFO | Process-7 | Number of variables: 2420
2025-12-18 15:56:59,944 | INFO | Process-7 | Number of clauses: 7491
2025-12-18 15:56:59,948 | INFO | Process-7 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w9.cnf
2025-12-18 15:56:59,948 | ERROR | Process-7 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-18 15:56:59,959 | RESULT | Process-7 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-18 15:56:59,998 | INFO | MainProcess | Found a solution 9
2025-12-18 15:56:59,998 | INFO | MainProcess | [Test k=21, w=9] Time: 0.57 seconds
2025-12-18 15:57:00,595 | INFO | Process-8 | Number of variables: 2420
2025-12-18 15:57:00,595 | INFO | Process-8 | Number of clauses: 7491
2025-12-18 15:57:00,602 | INFO | Process-8 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w10.cnf
2025-12-18 15:57:00,602 | ERROR | Process-8 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-18 15:57:00,645 | RESULT | Process-8 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-18 15:57:00,692 | INFO | MainProcess | Found a solution 10
2025-12-18 15:57:00,692 | INFO | MainProcess | [Test k=21, w=10] Time: 0.69 seconds
2025-12-18 15:57:01,132 | INFO | Process-9 | Number of variables: 2420
2025-12-18 15:57:01,132 | INFO | Process-9 | Number of clauses: 7157
2025-12-18 15:57:01,136 | INFO | Process-9 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w11.cnf
