2026-01-01 00:38:08,274 | INFO | MainProcess | === Start solve() ===
2026-01-01 00:38:08,636 | INFO | Process-1 | Number of clauses before symmetry breaking: 9442
2026-01-01 00:38:08,636 | INFO | Process-1 | Number of clauses after symmetry breaking: 9453
2026-01-01 00:38:08,640 | INFO | Process-1 | Number of variables: 2042
2026-01-01 00:38:08,640 | INFO | Process-1 | Number of clauses: 9441
2026-01-01 00:38:08,640 | INFO | Process-1 | Real nums of clauses: 9453
2026-01-01 00:38:08,640 | INFO | Process-1 | Real nums of variables: 2040
2026-01-01 00:38:08,645 | INFO | Process-1 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w4.cnf
2026-01-01 00:38:08,645 | ERROR | Process-1 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-01 00:38:08,647 | RESULT | Process-1 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-01 00:38:08,674 | INFO | MainProcess | Found a solution 4
2026-01-01 00:38:08,674 | INFO | MainProcess | [Test k=23, w=4] Time: 0.4 seconds
2026-01-01 00:38:09,041 | INFO | Process-2 | Number of clauses before symmetry breaking: 9442
2026-01-01 00:38:09,041 | INFO | Process-2 | Number of clauses after symmetry breaking: 9453
2026-01-01 00:38:09,045 | INFO | Process-2 | Number of variables: 2042
2026-01-01 00:38:09,045 | INFO | Process-2 | Number of clauses: 9441
2026-01-01 00:38:09,045 | INFO | Process-2 | Real nums of clauses: 9453
2026-01-01 00:38:09,045 | INFO | Process-2 | Real nums of variables: 2040
2026-01-01 00:38:09,051 | INFO | Process-2 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w5.cnf
2026-01-01 00:38:09,051 | ERROR | Process-2 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-01 00:38:09,055 | RESULT | Process-2 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-01 00:38:09,083 | INFO | MainProcess | Found a solution 5
2026-01-01 00:38:09,084 | INFO | MainProcess | [Test k=23, w=5] Time: 0.41 seconds
2026-01-01 00:38:09,443 | INFO | Process-3 | Number of clauses before symmetry breaking: 9442
2026-01-01 00:38:09,443 | INFO | Process-3 | Number of clauses after symmetry breaking: 9453
2026-01-01 00:38:09,447 | INFO | Process-3 | Number of variables: 2042
2026-01-01 00:38:09,447 | INFO | Process-3 | Number of clauses: 9441
2026-01-01 00:38:09,447 | INFO | Process-3 | Real nums of clauses: 9453
2026-01-01 00:38:09,447 | INFO | Process-3 | Real nums of variables: 2040
2026-01-01 00:38:09,453 | INFO | Process-3 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w6.cnf
