2025-12-19 09:18:14,002 | INFO | MainProcess | === Start solve() ===
2025-12-19 09:18:14,034 | INFO | Process-1 | Number of variables: 2042
2025-12-19 09:18:14,034 | INFO | Process-1 | Number of clauses: 9441
2025-12-19 09:18:14,052 | INFO | Process-1 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2025-12-19 09:18:14,068 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2025-12-19 09:18:14,230 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=0.16s
2025-12-19 09:18:14,230 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=0.16s rc=10
2025-12-19 09:18:14,231 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2025-12-19 09:18:14,232 | INFO | MainProcess | Found a solution 4
2025-12-19 09:18:14,233 | INFO | MainProcess | [Test k=23, w=4] Time: 0.22 seconds
2025-12-19 09:18:14,242 | INFO | Process-2 | Number of variables: 2042
2025-12-19 09:18:14,243 | INFO | Process-2 | Number of clauses: 9441
2025-12-19 09:18:14,266 | INFO | Process-2 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2025-12-19 09:18:14,279 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2025-12-19 09:18:14,335 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=0.06s
2025-12-19 09:18:14,335 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=0.06s rc=10
2025-12-19 09:18:14,335 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2025-12-19 09:18:14,337 | INFO | MainProcess | Found a solution 5
2025-12-19 09:18:14,337 | INFO | MainProcess | [Test k=23, w=5] Time: 0.1 seconds
2025-12-19 09:18:14,347 | INFO | Process-3 | Number of variables: 2042
2025-12-19 09:18:14,347 | INFO | Process-3 | Number of clauses: 9441
2025-12-19 09:18:14,364 | INFO | Process-3 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w6.cnf
2025-12-19 09:18:14,367 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w6.cnf
2025-12-19 09:18:14,422 | INFO | Process-3 | [PAINLESS] status=UNSAT rc=20 time=0.06s
2025-12-19 09:18:14,422 | RESULT | Process-3 | [PAINLESS] result: status=UNSAT time=0.06s rc=20
2025-12-19 09:18:14,423 | RESULT | Process-3 | [PAINLESS] Shortcut: UNSAT at width=6
2025-12-19 09:18:14,423 | RESULT | Process-3 | Time taken: 0.08341765403747559 seconds
2025-12-19 09:18:14,424 | INFO | MainProcess | No solution found 6
2025-12-19 09:18:14,425 | INFO | MainProcess | [Test k=23, w=6] Time: 0.09 seconds
2025-12-19 09:18:14,425 | INFO | MainProcess | $$$$
2025-12-19 09:18:14,425 | INFO | MainProcess | 5
2025-12-19 09:18:14,425 | INFO | MainProcess | $$$$
2025-12-19 09:18:14,425 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 0.4210634231567383 seconds
2025-12-19 09:18:14,425 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2025-12-19 09:18:14,441 | INFO | Process-4 | Number of variables: 1698
2025-12-19 09:18:14,442 | INFO | Process-4 | Number of clauses: 7130
2025-12-19 09:18:14,455 | INFO | Process-4 | CNF written to cnf/v2/B_n32_k18/B_n32_k18_w5.cnf
2025-12-19 09:18:14,462 | INFO | Process-4 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/B_n32_k18/B_n32_k18_w5.cnf
2025-12-19 09:18:14,508 | INFO | Process-4 | [PAINLESS] status=SAT rc=10 time=0.05s
2025-12-19 09:18:14,509 | RESULT | Process-4 | [PAINLESS] result: status=SAT time=0.05s rc=10
2025-12-19 09:18:14,509 | RESULT | Process-4 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2025-12-19 09:18:14,511 | INFO | MainProcess | Found a solution 5
2025-12-19 09:18:14,511 | INFO | MainProcess | [Test k=18, w=5] Time: 0.08 seconds
2025-12-19 09:18:14,520 | INFO | Process-5 | Number of variables: 1698
2025-12-19 09:18:14,520 | INFO | Process-5 | Number of clauses: 7130
2025-12-19 09:18:14,534 | INFO | Process-5 | CNF written to cnf/v2/B_n32_k18/B_n32_k18_w6.cnf
2025-12-19 09:18:14,549 | INFO | Process-5 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/B_n32_k18/B_n32_k18_w6.cnf
2025-12-19 09:18:14,603 | INFO | Process-5 | [PAINLESS] status=UNSAT rc=20 time=0.05s
2025-12-19 09:18:14,604 | RESULT | Process-5 | [PAINLESS] result: status=UNSAT time=0.05s rc=20
