2025-12-31 18:54:23,634 | INFO | MainProcess | === Start solve() ===
2025-12-31 18:54:24,018 | INFO | Process-1 | Number of variables: 2042
2025-12-31 18:54:24,018 | INFO | Process-1 | Number of clauses: 9441
2025-12-31 18:54:24,024 | INFO | Process-1 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w4.cnf
2025-12-31 18:54:24,024 | ERROR | Process-1 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:24,025 | RESULT | Process-1 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-31 18:54:24,052 | INFO | MainProcess | Found a solution 4
2025-12-31 18:54:24,053 | INFO | MainProcess | [Test k=23, w=4] Time: 0.41 seconds
2025-12-31 18:54:24,417 | INFO | Process-2 | Number of variables: 2042
2025-12-31 18:54:24,417 | INFO | Process-2 | Number of clauses: 9441
2025-12-31 18:54:24,422 | INFO | Process-2 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w5.cnf
2025-12-31 18:54:24,422 | ERROR | Process-2 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:24,426 | RESULT | Process-2 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-31 18:54:24,455 | INFO | MainProcess | Found a solution 5
2025-12-31 18:54:24,455 | INFO | MainProcess | [Test k=23, w=5] Time: 0.4 seconds
2025-12-31 18:54:24,800 | INFO | Process-3 | Number of variables: 2042
2025-12-31 18:54:24,801 | INFO | Process-3 | Number of clauses: 9441
2025-12-31 18:54:24,808 | INFO | Process-3 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w6.cnf
2025-12-31 18:54:24,808 | ERROR | Process-3 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:24,819 | RESULT | Process-3 | No solution exists
2025-12-31 18:54:24,819 | RESULT | Process-3 | Time taken: 0.025663375854492188 seconds
2025-12-31 18:54:24,847 | INFO | MainProcess | No solution found 6
2025-12-31 18:54:24,847 | INFO | MainProcess | [Test k=23, w=6] Time: 0.39 seconds
2025-12-31 18:54:24,847 | INFO | MainProcess | $$$$
2025-12-31 18:54:24,847 | INFO | MainProcess | 5
2025-12-31 18:54:24,847 | INFO | MainProcess | $$$$
2025-12-31 18:54:24,847 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 1.213033676147461 seconds
2025-12-31 18:54:24,847 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2025-12-31 18:54:25,205 | INFO | Process-4 | Number of variables: 1698
2025-12-31 18:54:25,206 | INFO | Process-4 | Number of clauses: 7130
2025-12-31 18:54:25,210 | INFO | Process-4 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w5.cnf
2025-12-31 18:54:25,210 | ERROR | Process-4 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:25,211 | RESULT | Process-4 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-31 18:54:25,237 | INFO | MainProcess | Found a solution 5
2025-12-31 18:54:25,237 | INFO | MainProcess | [Test k=18, w=5] Time: 0.38 seconds
2025-12-31 18:54:25,596 | INFO | Process-5 | Number of variables: 1698
2025-12-31 18:54:25,596 | INFO | Process-5 | Number of clauses: 7130
2025-12-31 18:54:25,601 | INFO | Process-5 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w6.cnf
2025-12-31 18:54:25,601 | ERROR | Process-5 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:25,605 | RESULT | Process-5 | No solution exists
2025-12-31 18:54:25,605 | RESULT | Process-5 | Time taken: 0.01417851448059082 seconds
2025-12-31 18:54:25,632 | INFO | MainProcess | No solution found 6
2025-12-31 18:54:25,632 | INFO | MainProcess | [Test k=18, w=6] Time: 0.4 seconds
2025-12-31 18:54:25,632 | INFO | MainProcess | $$$$
2025-12-31 18:54:25,632 | INFO | MainProcess | 5
2025-12-31 18:54:25,632 | INFO | MainProcess | $$$$
2025-12-31 18:54:25,632 | INFO | MainProcess | Time taken for B-ibm32.mtx.rnd with k = 18: 0.7849712371826172 seconds
2025-12-31 18:54:25,632 | INFO | MainProcess | Maximum width for B-ibm32.mtx.rnd is 5
2025-12-31 18:54:26,000 | INFO | Process-6 | Number of variables: 2420
2025-12-31 18:54:26,000 | INFO | Process-6 | Number of clauses: 7491
2025-12-31 18:54:26,004 | INFO | Process-6 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w8.cnf
2025-12-31 18:54:26,004 | ERROR | Process-6 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:26,012 | RESULT | Process-6 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-31 18:54:26,039 | INFO | MainProcess | Found a solution 8
2025-12-31 18:54:26,039 | INFO | MainProcess | [Test k=21, w=8] Time: 0.4 seconds
2025-12-31 18:54:26,382 | INFO | Process-7 | Number of variables: 2420
2025-12-31 18:54:26,382 | INFO | Process-7 | Number of clauses: 7491
2025-12-31 18:54:26,386 | INFO | Process-7 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w9.cnf
2025-12-31 18:54:26,386 | ERROR | Process-7 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:26,397 | RESULT | Process-7 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-31 18:54:26,425 | INFO | MainProcess | Found a solution 9
2025-12-31 18:54:26,425 | INFO | MainProcess | [Test k=21, w=9] Time: 0.39 seconds
2025-12-31 18:54:26,771 | INFO | Process-8 | Number of variables: 2420
2025-12-31 18:54:26,771 | INFO | Process-8 | Number of clauses: 7491
2025-12-31 18:54:26,775 | INFO | Process-8 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w10.cnf
2025-12-31 18:54:26,775 | ERROR | Process-8 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:26,807 | RESULT | Process-8 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-31 18:54:26,844 | INFO | MainProcess | Found a solution 10
2025-12-31 18:54:26,844 | INFO | MainProcess | [Test k=21, w=10] Time: 0.42 seconds
2025-12-31 18:54:27,216 | INFO | Process-9 | Number of variables: 2420
2025-12-31 18:54:27,216 | INFO | Process-9 | Number of clauses: 7157
2025-12-31 18:54:27,220 | INFO | Process-9 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w11.cnf
2025-12-31 18:54:27,220 | ERROR | Process-9 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-31 18:54:27,220 | RESULT | Process-9 | No solution exists
