2026-01-01 13:08:03,953 | INFO | MainProcess | === Start solve() ===
2026-01-01 13:08:03,992 | INFO | Process-1 | Number of clauses before symmetry breaking: 9442
2026-01-01 13:08:03,993 | INFO | Process-1 | Number of clauses after symmetry breaking: 9453
2026-01-01 13:08:03,999 | INFO | Process-1 | Number of variables: 2042
2026-01-01 13:08:03,999 | INFO | Process-1 | Number of clauses: 9441
2026-01-01 13:08:03,999 | INFO | Process-1 | Real nums of clauses: 9453
2026-01-01 13:08:03,999 | INFO | Process-1 | Real nums of variables: 2040
2026-01-01 13:08:04,015 | INFO | Process-1 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2026-01-01 13:08:04,019 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2026-01-01 13:08:04,096 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=0.08s
2026-01-01 13:08:04,096 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=0.08s rc=10
2026-01-01 13:08:04,096 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-01 13:08:04,099 | INFO | MainProcess | Found a solution 4
2026-01-01 13:08:04,099 | INFO | MainProcess | [Test k=23, w=4] Time: 0.12 seconds
2026-01-01 13:08:04,106 | INFO | Process-2 | Number of clauses before symmetry breaking: 9442
2026-01-01 13:08:04,106 | INFO | Process-2 | Number of clauses after symmetry breaking: 9453
2026-01-01 13:08:04,111 | INFO | Process-2 | Number of variables: 2042
2026-01-01 13:08:04,111 | INFO | Process-2 | Number of clauses: 9441
2026-01-01 13:08:04,111 | INFO | Process-2 | Real nums of clauses: 9453
2026-01-01 13:08:04,111 | INFO | Process-2 | Real nums of variables: 2040
2026-01-01 13:08:04,127 | INFO | Process-2 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2026-01-01 13:08:04,137 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2026-01-01 13:08:04,199 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=0.06s
2026-01-01 13:08:04,199 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=0.06s rc=10
2026-01-01 13:08:04,200 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
