2025-12-24 01:43:44,434 | INFO | MainProcess | === Start solve() ===
2025-12-24 01:43:44,819 | INFO | Process-1 | Number of variables: 2042
2025-12-24 01:43:44,819 | INFO | Process-1 | Number of clauses: 9441
2025-12-24 01:43:44,825 | INFO | Process-1 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w4.cnf
2025-12-24 01:43:44,825 | ERROR | Process-1 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-24 01:43:44,826 | RESULT | Process-1 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-24 01:43:44,853 | INFO | MainProcess | Found a solution 4
2025-12-24 01:43:44,853 | INFO | MainProcess | [Test k=23, w=4] Time: 0.42 seconds
2025-12-24 01:43:44,853 | INFO | MainProcess | Min width from solution: 4, next width: 5
2025-12-24 01:43:45,244 | INFO | Process-2 | Number of variables: 2042
2025-12-24 01:43:45,244 | INFO | Process-2 | Number of clauses: 9441
2025-12-24 01:43:45,249 | INFO | Process-2 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w5.cnf
2025-12-24 01:43:45,249 | ERROR | Process-2 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-24 01:43:45,253 | RESULT | Process-2 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-24 01:43:45,281 | INFO | MainProcess | Found a solution 5
2025-12-24 01:43:45,281 | INFO | MainProcess | [Test k=23, w=5] Time: 0.43 seconds
2025-12-24 01:43:45,281 | INFO | MainProcess | Min width from solution: 5, next width: 6
2025-12-24 01:43:45,654 | INFO | Process-3 | Number of variables: 2042
2025-12-24 01:43:45,654 | INFO | Process-3 | Number of clauses: 9441
2025-12-24 01:43:45,659 | INFO | Process-3 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w6.cnf
2025-12-24 01:43:45,659 | ERROR | Process-3 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-24 01:43:45,670 | RESULT | Process-3 | No solution exists
2025-12-24 01:43:45,670 | RESULT | Process-3 | Time taken: 0.023180007934570312 seconds
2025-12-24 01:43:45,706 | INFO | MainProcess | No solution found 6
2025-12-24 01:43:45,706 | INFO | MainProcess | [Test k=23, w=6] Time: 0.43 seconds
2025-12-24 01:43:45,706 | INFO | MainProcess | $$$$
2025-12-24 01:43:45,706 | INFO | MainProcess | 5
2025-12-24 01:43:45,706 | INFO | MainProcess | $$$$
2025-12-24 01:43:45,706 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 1.2718505859375 seconds
2025-12-24 01:43:45,706 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2025-12-24 01:43:46,088 | INFO | Process-4 | Number of variables: 1698
2025-12-24 01:43:46,088 | INFO | Process-4 | Number of clauses: 7130
2025-12-24 01:43:46,093 | INFO | Process-4 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w5.cnf
2025-12-24 01:43:46,093 | ERROR | Process-4 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-24 01:43:46,094 | RESULT | Process-4 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-24 01:43:46,121 | INFO | MainProcess | Found a solution 5
2025-12-24 01:43:46,121 | INFO | MainProcess | [Test k=18, w=5] Time: 0.42 seconds
2025-12-24 01:43:46,121 | INFO | MainProcess | Min width from solution: 5, next width: 6
2025-12-24 01:43:46,499 | INFO | Process-5 | Number of variables: 1698
2025-12-24 01:43:46,499 | INFO | Process-5 | Number of clauses: 7130
2025-12-24 01:43:46,503 | INFO | Process-5 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w6.cnf
2025-12-24 01:43:46,504 | ERROR | Process-5 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-24 01:43:46,507 | RESULT | Process-5 | No solution exists
2025-12-24 01:43:46,507 | RESULT | Process-5 | Time taken: 0.01300358772277832 seconds
2025-12-24 01:43:46,534 | INFO | MainProcess | No solution found 6
2025-12-24 01:43:46,534 | INFO | MainProcess | [Test k=18, w=6] Time: 0.41 seconds
2025-12-24 01:43:46,534 | INFO | MainProcess | $$$$
2025-12-24 01:43:46,534 | INFO | MainProcess | 5
2025-12-24 01:43:46,534 | INFO | MainProcess | $$$$
2025-12-24 01:43:46,534 | INFO | MainProcess | Time taken for B-ibm32.mtx.rnd with k = 18: 0.8282616138458252 seconds
2025-12-24 01:43:46,534 | INFO | MainProcess | Maximum width for B-ibm32.mtx.rnd is 5
2025-12-24 01:43:46,893 | INFO | Process-6 | Number of variables: 2420
2025-12-24 01:43:46,893 | INFO | Process-6 | Number of clauses: 7491
2025-12-24 01:43:46,898 | INFO | Process-6 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w8.cnf
2025-12-24 01:43:46,898 | ERROR | Process-6 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-24 01:43:46,906 | RESULT | Process-6 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-24 01:43:46,934 | INFO | MainProcess | Found a solution 8
2025-12-24 01:43:46,934 | INFO | MainProcess | [Test k=21, w=8] Time: 0.4 seconds
2025-12-24 01:43:46,934 | INFO | MainProcess | Min width from solution: 8, next width: 9
2025-12-24 01:43:47,287 | INFO | Process-7 | Number of variables: 2420
2025-12-24 01:43:47,287 | INFO | Process-7 | Number of clauses: 7491
2025-12-24 01:43:47,291 | INFO | Process-7 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w9.cnf
2025-12-24 01:43:47,292 | ERROR | Process-7 | Some thing wrong with PAINLESS, Solving with PySAT...
2025-12-24 01:43:47,303 | RESULT | Process-7 | [VALIDATE][PYSAT] True | VALID SOLUTION
2025-12-24 01:43:47,329 | INFO | MainProcess | Found a solution 9
2025-12-24 01:43:47,329 | INFO | MainProcess | [Test k=21, w=9] Time: 0.4 seconds
2025-12-24 01:43:47,329 | INFO | MainProcess | Min width from solution: 9, next width: 10
2025-12-24 01:43:47,692 | INFO | Process-8 | Number of variables: 2420
