2025-10-27 15:49:08,007 | INFO | MainProcess | === Start solve() ===
2025-10-27 15:49:08,028 | INFO | Process-1 | Number of variables: 2432
2025-10-27 15:49:08,028 | INFO | Process-1 | Number of clauses: 13510
2025-10-27 15:49:08,037 | INFO | Process-1 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2025-10-27 15:49:08,055 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2025-10-27 15:49:08,114 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=0.06s
2025-10-27 15:49:08,114 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=0.06s rc=10
2025-10-27 15:49:08,115 | RESULT | Process-1 | [PAINLESS] Shortcut: SAT at width=4
2025-10-27 15:49:08,115 | RESULT | Process-1 | Time taken: 0.09997010231018066 seconds
2025-10-27 15:49:08,116 | INFO | MainProcess | Found a solution 4
2025-10-27 15:49:08,117 | INFO | MainProcess | [Test k=23, w=4] Time: 0.11 seconds
2025-10-27 15:49:08,127 | INFO | Process-2 | Number of variables: 2432
2025-10-27 15:49:08,127 | INFO | Process-2 | Number of clauses: 13804
2025-10-27 15:49:08,136 | INFO | Process-2 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2025-10-27 15:49:08,139 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2025-10-27 15:49:08,199 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=0.06s
2025-10-27 15:49:08,199 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=0.06s rc=10
2025-10-27 15:49:08,199 | RESULT | Process-2 | [PAINLESS] Shortcut: SAT at width=5
2025-10-27 15:49:08,199 | RESULT | Process-2 | Time taken: 0.08091306686401367 seconds
2025-10-27 15:49:08,201 | INFO | MainProcess | Found a solution 5
2025-10-27 15:49:08,201 | INFO | MainProcess | [Test k=23, w=5] Time: 0.08 seconds
2025-10-27 15:49:08,212 | INFO | Process-3 | Number of variables: 2432
2025-10-27 15:49:08,212 | INFO | Process-3 | Number of clauses: 14098
2025-10-27 15:49:08,221 | INFO | Process-3 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w6.cnf
2025-10-27 15:49:08,237 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/A_n30_k23/A_n30_k23_w6.cnf
2025-10-27 15:49:08,296 | INFO | Process-3 | [PAINLESS] status=UNSAT rc=20 time=0.06s
2025-10-27 15:49:08,296 | RESULT | Process-3 | [PAINLESS] result: status=UNSAT time=0.06s rc=20
2025-10-27 15:49:08,296 | RESULT | Process-3 | [PAINLESS] Shortcut: UNSAT at width=6
2025-10-27 15:49:08,296 | RESULT | Process-3 | Time taken: 0.09334611892700195 seconds
2025-10-27 15:49:08,298 | INFO | MainProcess | No solution found 6
2025-10-27 15:49:08,298 | INFO | MainProcess | [Test k=23, w=6] Time: 0.1 seconds
2025-10-27 15:49:08,298 | INFO | MainProcess | $$$$
2025-10-27 15:49:08,298 | INFO | MainProcess | 5
2025-10-27 15:49:08,298 | INFO | MainProcess | $$$$
2025-10-27 15:49:08,298 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 0.2905387878417969 seconds
2025-10-27 15:49:08,299 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2025-10-27 15:49:08,309 | INFO | Process-4 | Number of variables: 1954
2025-10-27 15:49:08,309 | INFO | Process-4 | Number of clauses: 10763
