2026-01-05 19:13:20,627 | INFO | MainProcess | === Start solve() ===
2026-01-05 19:13:22,203 | INFO | Process-1 | Number of variables: 375277
2026-01-05 19:13:22,204 | INFO | Process-1 | Number of clauses: 1827454
2026-01-05 19:13:22,204 | INFO | Process-1 | Real nums of clauses: 1828742
2026-01-05 19:13:22,204 | INFO | Process-1 | Real nums of variables: 375275
2026-01-05 19:13:23,132 | INFO | Process-1 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w47.cnf
2026-01-05 19:13:23,133 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w47.cnf
2026-01-05 19:13:26,306 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=3.17s
2026-01-05 19:13:26,306 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=3.17s rc=10
2026-01-05 19:13:26,307 | RESULT | Process-1 | [PAINLESS] Shortcut: SAT at width=47
2026-01-05 19:13:26,307 | RESULT | Process-1 | Time taken: 5.670191287994385 seconds
2026-01-05 19:13:26,415 | INFO | MainProcess | Found a solution 47
2026-01-05 19:13:26,416 | INFO | MainProcess | [Test k=221, w=47] Time: 5.78 seconds
2026-01-05 19:13:27,834 | INFO | Process-2 | Number of variables: 375277
2026-01-05 19:13:27,835 | INFO | Process-2 | Number of clauses: 1832518
2026-01-05 19:13:27,835 | INFO | Process-2 | Real nums of clauses: 1833810
2026-01-05 19:13:27,835 | INFO | Process-2 | Real nums of variables: 375275
2026-01-05 19:13:28,945 | INFO | Process-2 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w48.cnf
2026-01-05 19:13:28,946 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w48.cnf
2026-01-05 19:13:31,877 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=2.93s
2026-01-05 19:13:31,877 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=2.93s rc=10
2026-01-05 19:13:31,877 | RESULT | Process-2 | [PAINLESS] Shortcut: SAT at width=48
2026-01-05 19:13:31,878 | RESULT | Process-2 | Time taken: 5.459513902664185 seconds
2026-01-05 19:13:31,982 | INFO | MainProcess | Found a solution 48
2026-01-05 19:13:31,982 | INFO | MainProcess | [Test k=221, w=48] Time: 5.57 seconds
2026-01-05 19:13:33,354 | INFO | Process-3 | Number of variables: 375277
2026-01-05 19:13:33,354 | INFO | Process-3 | Number of clauses: 1837582
2026-01-05 19:13:33,355 | INFO | Process-3 | Real nums of clauses: 1838878
2026-01-05 19:13:33,355 | INFO | Process-3 | Real nums of variables: 375275
2026-01-05 19:13:34,262 | INFO | Process-3 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w49.cnf
2026-01-05 19:13:34,263 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w49.cnf
2026-01-05 19:13:37,415 | INFO | Process-3 | [PAINLESS] status=SAT rc=10 time=3.15s
2026-01-05 19:13:37,415 | RESULT | Process-3 | [PAINLESS] result: status=SAT time=3.15s rc=10
2026-01-05 19:13:37,416 | RESULT | Process-3 | [PAINLESS] Shortcut: SAT at width=49
2026-01-05 19:13:37,416 | RESULT | Process-3 | Time taken: 5.431910276412964 seconds
2026-01-05 19:13:37,540 | INFO | MainProcess | Found a solution 49
2026-01-05 19:13:37,540 | INFO | MainProcess | [Test k=221, w=49] Time: 5.56 seconds
2026-01-05 19:13:39,043 | INFO | Process-4 | Number of variables: 375277
2026-01-05 19:13:39,043 | INFO | Process-4 | Number of clauses: 1842646
2026-01-05 19:13:39,044 | INFO | Process-4 | Real nums of clauses: 1843946
2026-01-05 19:13:39,044 | INFO | Process-4 | Real nums of variables: 375275
2026-01-05 19:13:40,041 | INFO | Process-4 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w50.cnf
2026-01-05 19:13:40,042 | INFO | Process-4 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w50.cnf
2026-01-05 19:13:42,907 | INFO | Process-4 | [PAINLESS] status=SAT rc=10 time=2.87s
2026-01-05 19:13:42,908 | RESULT | Process-4 | [PAINLESS] result: status=SAT time=2.87s rc=10
2026-01-05 19:13:42,908 | RESULT | Process-4 | [PAINLESS] Shortcut: SAT at width=50
2026-01-05 19:13:42,908 | RESULT | Process-4 | Time taken: 5.365556001663208 seconds
2026-01-05 19:13:43,029 | INFO | MainProcess | Found a solution 50
