2026-01-18 16:13:45,158 | INFO | MainProcess | === Start solve() ===
2026-01-18 16:13:45,653 | INFO | Process-1 | Number of variables: 1381
2026-01-18 16:13:45,653 | INFO | Process-1 | Number of clauses: 7461
2026-01-18 16:13:45,653 | INFO | Process-1 | Real nums of clauses: 7492
2026-01-18 16:13:45,653 | INFO | Process-1 | Real nums of variables: 1380
2026-01-18 16:13:45,659 | INFO | Process-1 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w4.cnf
2026-01-18 16:13:45,659 | ERROR | Process-1 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-18 16:13:45,660 | RESULT | Process-1 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-18 16:13:45,709 | INFO | MainProcess | Found a solution 4
2026-01-18 16:13:45,709 | INFO | MainProcess | [Test k=23, w=4] Time: 0.54 seconds
2026-01-18 16:13:46,033 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_NoSymmetry.xlsx
2026-01-18 16:13:46,493 | INFO | Process-2 | Number of variables: 1381
2026-01-18 16:13:46,493 | INFO | Process-2 | Number of clauses: 7461
2026-01-18 16:13:46,493 | INFO | Process-2 | Real nums of clauses: 7492
2026-01-18 16:13:46,493 | INFO | Process-2 | Real nums of variables: 1380
2026-01-18 16:13:46,498 | INFO | Process-2 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w5.cnf
2026-01-18 16:13:46,498 | ERROR | Process-2 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-18 16:13:46,502 | RESULT | Process-2 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-18 16:13:46,546 | INFO | MainProcess | Found a solution 5
2026-01-18 16:13:46,546 | INFO | MainProcess | [Test k=23, w=5] Time: 0.51 seconds
2026-01-18 16:13:46,588 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_NoSymmetry.xlsx
2026-01-18 16:13:47,032 | INFO | Process-3 | Number of variables: 1381
2026-01-18 16:13:47,032 | INFO | Process-3 | Number of clauses: 7461
2026-01-18 16:13:47,032 | INFO | Process-3 | Real nums of clauses: 7492
2026-01-18 16:13:47,033 | INFO | Process-3 | Real nums of variables: 1380
2026-01-18 16:13:47,038 | INFO | Process-3 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w6.cnf
2026-01-18 16:13:47,038 | ERROR | Process-3 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-18 16:13:47,045 | RESULT | Process-3 | No solution exists
2026-01-18 16:13:47,045 | RESULT | Process-3 | Time taken: 0.018897294998168945 seconds
2026-01-18 16:13:47,086 | INFO | MainProcess | No solution found 6
2026-01-18 16:13:47,086 | INFO | MainProcess | [Test k=23, w=6] Time: 0.5 seconds
2026-01-18 16:13:47,116 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_NoSymmetry.xlsx
2026-01-18 16:13:47,116 | INFO | MainProcess | $$$$
2026-01-18 16:13:47,116 | INFO | MainProcess | 5
2026-01-18 16:13:47,116 | INFO | MainProcess | $$$$
2026-01-18 16:13:47,116 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 1.9563539028167725 seconds
2026-01-18 16:13:47,116 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2026-01-18 16:13:47,565 | INFO | Process-4 | Number of variables: 1153
2026-01-18 16:13:47,565 | INFO | Process-4 | Number of clauses: 5498
2026-01-18 16:13:47,565 | INFO | Process-4 | Real nums of clauses: 5531
2026-01-18 16:13:47,565 | INFO | Process-4 | Real nums of variables: 1152
2026-01-18 16:13:47,569 | INFO | Process-4 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w5.cnf
2026-01-18 16:13:47,569 | ERROR | Process-4 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-18 16:13:47,570 | RESULT | Process-4 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-18 16:13:47,613 | INFO | MainProcess | Found a solution 5
2026-01-18 16:13:47,613 | INFO | MainProcess | [Test k=18, w=5] Time: 0.49 seconds
2026-01-18 16:13:47,647 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_NoSymmetry.xlsx
2026-01-18 16:13:48,083 | INFO | Process-5 | Number of variables: 1153
2026-01-18 16:13:48,083 | INFO | Process-5 | Number of clauses: 5498
2026-01-18 16:13:48,083 | INFO | Process-5 | Real nums of clauses: 5531
2026-01-18 16:13:48,083 | INFO | Process-5 | Real nums of variables: 1152
2026-01-18 16:13:48,087 | INFO | Process-5 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w6.cnf
2026-01-18 16:13:48,087 | ERROR | Process-5 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-18 16:13:48,089 | RESULT | Process-5 | No solution exists
2026-01-18 16:13:48,089 | RESULT | Process-5 | Time taken: 0.01051187515258789 seconds
2026-01-18 16:13:48,130 | INFO | MainProcess | No solution found 6
2026-01-18 16:13:48,130 | INFO | MainProcess | [Test k=18, w=6] Time: 0.48 seconds
2026-01-18 16:13:48,158 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_NoSymmetry.xlsx
2026-01-18 16:13:48,158 | INFO | MainProcess | $$$$
2026-01-18 16:13:48,158 | INFO | MainProcess | 5
2026-01-18 16:13:48,158 | INFO | MainProcess | $$$$
2026-01-18 16:13:48,158 | INFO | MainProcess | Time taken for B-ibm32.mtx.rnd with k = 18: 1.0424518585205078 seconds
2026-01-18 16:13:48,158 | INFO | MainProcess | Maximum width for B-ibm32.mtx.rnd is 5
2026-01-18 16:13:48,607 | INFO | Process-6 | Number of variables: 1639
2026-01-18 16:13:48,608 | INFO | Process-6 | Number of clauses: 5151
2026-01-18 16:13:48,608 | INFO | Process-6 | Real nums of clauses: 5191
2026-01-18 16:13:48,608 | INFO | Process-6 | Real nums of variables: 1638
2026-01-18 16:13:48,612 | INFO | Process-6 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w8.cnf
2026-01-18 16:13:48,612 | ERROR | Process-6 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-18 16:13:48,616 | RESULT | Process-6 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-18 16:13:48,654 | INFO | MainProcess | Found a solution 8
2026-01-18 16:13:48,654 | INFO | MainProcess | [Test k=21, w=8] Time: 0.49 seconds
2026-01-18 16:13:48,681 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_NoSymmetry.xlsx
2026-01-18 16:13:49,150 | INFO | Process-7 | Number of variables: 1639
2026-01-18 16:13:49,150 | INFO | Process-7 | Number of clauses: 5151
2026-01-18 16:13:49,150 | INFO | Process-7 | Real nums of clauses: 5191
2026-01-18 16:13:49,150 | INFO | Process-7 | Real nums of variables: 1638
2026-01-18 16:13:49,155 | INFO | Process-7 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w9.cnf
2026-01-18 16:13:49,155 | ERROR | Process-7 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-18 16:13:49,158 | RESULT | Process-7 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-18 16:13:49,207 | INFO | MainProcess | Found a solution 9
2026-01-18 16:13:49,207 | INFO | MainProcess | [Test k=21, w=9] Time: 0.53 seconds
2026-01-18 16:13:49,243 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_NoSymmetry.xlsx
