2026-01-17 19:34:03,965 | INFO | MainProcess | === Start solve() ===
2026-01-17 19:34:04,328 | INFO | Process-1 | Number of clauses before symmetry breaking: 1
2026-01-17 19:34:04,328 | INFO | Process-1 | Number of clauses after symmetry breaking: 11
2026-01-17 19:34:04,333 | INFO | Process-1 | Number of variables: 1381
2026-01-17 19:34:04,333 | INFO | Process-1 | Number of clauses: 7312
2026-01-17 19:34:04,333 | INFO | Process-1 | Real nums of clauses: 7502
2026-01-17 19:34:04,333 | INFO | Process-1 | Real nums of variables: 1380
2026-01-17 19:34:04,338 | INFO | Process-1 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w4.cnf
2026-01-17 19:34:04,340 | ERROR | Process-1 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-17 19:34:04,341 | RESULT | Process-1 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-17 19:34:04,369 | INFO | MainProcess | Found a solution 4
2026-01-17 19:34:04,369 | INFO | MainProcess | [Test k=23, w=4] Time: 0.4 seconds
2026-01-17 19:34:04,589 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_Symmetry.xlsx
2026-01-17 19:34:04,948 | INFO | Process-2 | Number of clauses before symmetry breaking: 1
2026-01-17 19:34:04,948 | INFO | Process-2 | Number of clauses after symmetry breaking: 11
2026-01-17 19:34:04,952 | INFO | Process-2 | Number of variables: 1381
2026-01-17 19:34:04,952 | INFO | Process-2 | Number of clauses: 7319
2026-01-17 19:34:04,952 | INFO | Process-2 | Real nums of clauses: 7502
2026-01-17 19:34:04,952 | INFO | Process-2 | Real nums of variables: 1380
2026-01-17 19:34:04,957 | INFO | Process-2 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w5.cnf
2026-01-17 19:34:04,957 | ERROR | Process-2 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-17 19:34:04,961 | RESULT | Process-2 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-17 19:34:04,990 | INFO | MainProcess | Found a solution 5
2026-01-17 19:34:04,990 | INFO | MainProcess | [Test k=23, w=5] Time: 0.4 seconds
2026-01-17 19:34:05,019 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_Symmetry.xlsx
2026-01-17 19:34:05,380 | INFO | Process-3 | Number of clauses before symmetry breaking: 1
2026-01-17 19:34:05,380 | INFO | Process-3 | Number of clauses after symmetry breaking: 11
2026-01-17 19:34:05,386 | INFO | Process-3 | Number of variables: 1381
2026-01-17 19:34:05,386 | INFO | Process-3 | Number of clauses: 7326
2026-01-17 19:34:05,386 | INFO | Process-3 | Real nums of clauses: 7502
2026-01-17 19:34:05,386 | INFO | Process-3 | Real nums of variables: 1380
2026-01-17 19:34:05,390 | INFO | Process-3 | CNF written to cnf/v2\A_n30_k23\A_n30_k23_w6.cnf
2026-01-17 19:34:05,390 | ERROR | Process-3 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-17 19:34:05,394 | RESULT | Process-3 | No solution exists
2026-01-17 19:34:05,394 | RESULT | Process-3 | Time taken: 0.014000892639160156 seconds
2026-01-17 19:34:05,423 | INFO | MainProcess | No solution found 6
2026-01-17 19:34:05,423 | INFO | MainProcess | [Test k=23, w=6] Time: 0.4 seconds
2026-01-17 19:34:05,445 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_Symmetry.xlsx
2026-01-17 19:34:05,445 | INFO | MainProcess | $$$$
2026-01-17 19:34:05,445 | INFO | MainProcess | 5
2026-01-17 19:34:05,445 | INFO | MainProcess | $$$$
2026-01-17 19:34:05,445 | INFO | MainProcess | Time taken for A-pores_1.mtx.rnd with k = 23: 1.479980707168579 seconds
2026-01-17 19:34:05,445 | INFO | MainProcess | Maximum width for A-pores_1.mtx.rnd is 5
2026-01-17 19:34:05,791 | INFO | Process-4 | Number of clauses before symmetry breaking: 1
2026-01-17 19:34:05,791 | INFO | Process-4 | Number of clauses after symmetry breaking: 9
2026-01-17 19:34:05,795 | INFO | Process-4 | Number of variables: 1153
2026-01-17 19:34:05,795 | INFO | Process-4 | Number of clauses: 5438
2026-01-17 19:34:05,795 | INFO | Process-4 | Real nums of clauses: 5539
2026-01-17 19:34:05,795 | INFO | Process-4 | Real nums of variables: 1152
2026-01-17 19:34:05,798 | INFO | Process-4 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w5.cnf
2026-01-17 19:34:05,798 | ERROR | Process-4 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-17 19:34:05,799 | RESULT | Process-4 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-17 19:34:05,830 | INFO | MainProcess | Found a solution 5
2026-01-17 19:34:05,830 | INFO | MainProcess | [Test k=18, w=5] Time: 0.38 seconds
2026-01-17 19:34:05,857 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_Symmetry.xlsx
2026-01-17 19:34:06,192 | INFO | Process-5 | Number of clauses before symmetry breaking: 1
2026-01-17 19:34:06,192 | INFO | Process-5 | Number of clauses after symmetry breaking: 9
2026-01-17 19:34:06,196 | INFO | Process-5 | Number of variables: 1153
2026-01-17 19:34:06,196 | INFO | Process-5 | Number of clauses: 5415
2026-01-17 19:34:06,196 | INFO | Process-5 | Real nums of clauses: 5539
2026-01-17 19:34:06,196 | INFO | Process-5 | Real nums of variables: 1152
2026-01-17 19:34:06,200 | INFO | Process-5 | CNF written to cnf/v2\B_n32_k18\B_n32_k18_w6.cnf
2026-01-17 19:34:06,200 | ERROR | Process-5 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-17 19:34:06,201 | RESULT | Process-5 | No solution exists
2026-01-17 19:34:06,201 | RESULT | Process-5 | Time taken: 0.01000070571899414 seconds
2026-01-17 19:34:06,230 | INFO | MainProcess | No solution found 6
2026-01-17 19:34:06,230 | INFO | MainProcess | [Test k=18, w=6] Time: 0.37 seconds
2026-01-17 19:34:06,256 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Cadical_Symmetry.xlsx
2026-01-17 19:34:06,256 | INFO | MainProcess | $$$$
2026-01-17 19:34:06,256 | INFO | MainProcess | 5
2026-01-17 19:34:06,256 | INFO | MainProcess | $$$$
