2026-01-18 01:17:37,321 | INFO | MainProcess | === Start solve() ===
2026-01-18 01:17:37,340 | INFO | Process-1 | Number of variables: 1381
2026-01-18 01:17:37,340 | INFO | Process-1 | Number of clauses: 7461
2026-01-18 01:17:37,340 | INFO | Process-1 | Real nums of clauses: 7492
2026-01-18 01:17:37,341 | INFO | Process-1 | Real nums of variables: 1380
2026-01-18 01:17:37,361 | INFO | Process-1 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2026-01-18 01:17:37,365 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w4.cnf
2026-01-18 01:17:37,441 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=0.08s
2026-01-18 01:17:37,441 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=0.08s rc=10
2026-01-18 01:17:37,441 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-18 01:17:37,443 | INFO | MainProcess | Found a solution 4
2026-01-18 01:17:37,443 | INFO | MainProcess | [Test k=23, w=4] Time: 0.12 seconds
2026-01-18 01:17:39,086 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Painless_NoSymmetry.xlsx
2026-01-18 01:17:39,096 | INFO | Process-2 | Number of variables: 1381
2026-01-18 01:17:39,096 | INFO | Process-2 | Number of clauses: 7461
2026-01-18 01:17:39,096 | INFO | Process-2 | Real nums of clauses: 7492
2026-01-18 01:17:39,096 | INFO | Process-2 | Real nums of variables: 1380
2026-01-18 01:17:39,110 | INFO | Process-2 | CNF written to cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2026-01-18 01:17:39,114 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/A_n30_k23/A_n30_k23_w5.cnf
2026-01-18 01:17:39,165 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=0.05s
2026-01-18 01:17:39,165 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=0.05s rc=10
2026-01-18 01:17:39,165 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-18 01:17:39,167 | INFO | MainProcess | Found a solution 5
2026-01-18 01:17:39,167 | INFO | MainProcess | [Test k=23, w=5] Time: 0.08 seconds
2026-01-18 01:17:39,198 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_EO_Painless_NoSymmetry.xlsx
2026-01-18 01:17:39,208 | INFO | Process-3 | Number of variables: 1381
2026-01-18 01:17:39,208 | INFO | Process-3 | Number of clauses: 7461
