2026-01-17 05:03:04,996 | INFO | MainProcess | === Start solve() ===
2026-01-17 05:03:05,011 | INFO | Process-1 | Number of clauses before symmetry breaking: 1
2026-01-17 05:03:05,011 | INFO | Process-1 | Number of clauses after symmetry breaking: 163
2026-01-17 05:03:05,745 | INFO | Process-1 | Number of variables: 322089
2026-01-17 05:03:05,745 | INFO | Process-1 | Number of clauses: 1022945
2026-01-17 05:03:05,745 | INFO | Process-1 | Real nums of clauses: 1026243
2026-01-17 05:03:05,746 | INFO | Process-1 | Real nums of variables: 322088
2026-01-17 05:03:06,167 | INFO | Process-1 | CNF written to cnf/v2/Q_n494_k326/Q_n494_k326_w144.cnf
2026-01-17 05:03:06,176 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=ck cnf/v2/Q_n494_k326/Q_n494_k326_w144.cnf
2026-01-17 05:04:27,430 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=81.25s
2026-01-17 05:04:27,430 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=81.25s rc=10
2026-01-17 05:04:27,457 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 05:04:27,507 | INFO | MainProcess | Found a solution 144
2026-01-17 05:04:27,507 | INFO | MainProcess | [Test k=326, w=144] Time: 82.51 seconds
2026-01-17 05:04:28,163 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_Q.xlsx
2026-01-17 05:04:28,170 | INFO | Process-2 | Number of clauses before symmetry breaking: 1
2026-01-17 05:04:28,171 | INFO | Process-2 | Number of clauses after symmetry breaking: 163
2026-01-17 05:04:28,844 | INFO | Process-2 | Number of variables: 322089
2026-01-17 05:04:28,844 | INFO | Process-2 | Number of clauses: 1022922
2026-01-17 05:04:28,845 | INFO | Process-2 | Real nums of clauses: 1026243
2026-01-17 05:04:28,845 | INFO | Process-2 | Real nums of variables: 322088
2026-01-17 05:04:29,271 | INFO | Process-2 | CNF written to cnf/v2/Q_n494_k326/Q_n494_k326_w145.cnf
2026-01-17 05:04:29,275 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=ck cnf/v2/Q_n494_k326/Q_n494_k326_w145.cnf
2026-01-17 05:04:53,459 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=24.18s
2026-01-17 05:04:53,459 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=24.18s rc=10
2026-01-17 05:04:53,486 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 05:04:53,535 | INFO | MainProcess | Found a solution 145
