2026-01-17 13:48:41,785 | INFO | MainProcess | === Start solve() ===
2026-01-17 13:48:41,816 | INFO | Process-1 | Number of clauses before symmetry breaking: 1
2026-01-17 13:48:41,817 | INFO | Process-1 | Number of clauses after symmetry breaking: 161
2026-01-17 13:48:43,129 | INFO | Process-1 | Number of variables: 351625
2026-01-17 13:48:43,129 | INFO | Process-1 | Number of clauses: 1560802
2026-01-17 13:48:43,130 | INFO | Process-1 | Real nums of clauses: 1566789
2026-01-17 13:48:43,130 | INFO | Process-1 | Real nums of variables: 351624
2026-01-17 13:48:44,014 | INFO | Process-1 | CNF written to cnf/v2/S_n546_k322/S_n546_k322_w151.cnf
2026-01-17 13:48:44,015 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/S_n546_k322/S_n546_k322_w151.cnf
2026-01-17 14:09:24,968 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=1240.95s
2026-01-17 14:09:24,969 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=1240.95s rc=10
2026-01-17 14:09:25,003 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 14:09:25,136 | INFO | MainProcess | Found a solution 151
2026-01-17 14:09:25,136 | INFO | MainProcess | [Test k=322, w=151] Time: 1243.34 seconds
2026-01-17 14:09:26,132 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_ST.xlsx
2026-01-17 14:09:26,142 | INFO | Process-2 | Number of clauses before symmetry breaking: 1
2026-01-17 14:09:26,144 | INFO | Process-2 | Number of clauses after symmetry breaking: 161
2026-01-17 14:09:27,515 | INFO | Process-2 | Number of variables: 351625
2026-01-17 14:09:27,515 | INFO | Process-2 | Number of clauses: 1560754
2026-01-17 14:09:27,515 | INFO | Process-2 | Real nums of clauses: 1566789
2026-01-17 14:09:27,516 | INFO | Process-2 | Real nums of variables: 351624
2026-01-17 14:09:28,352 | INFO | Process-2 | CNF written to cnf/v2/S_n546_k322/S_n546_k322_w152.cnf
