2026-01-17 12:42:02,200 | INFO | MainProcess | === Start solve() ===
2026-01-17 12:42:02,230 | INFO | Process-1 | Number of clauses before symmetry breaking: 1
2026-01-17 12:42:02,231 | INFO | Process-1 | Number of clauses after symmetry breaking: 202
2026-01-17 12:42:03,930 | INFO | Process-1 | Number of variables: 546751
2026-01-17 12:42:03,933 | INFO | Process-1 | Number of clauses: 2133416
2026-01-17 12:42:03,933 | INFO | Process-1 | Real nums of clauses: 2138332
2026-01-17 12:42:03,933 | INFO | Process-1 | Real nums of variables: 546750
2026-01-17 12:42:04,924 | INFO | Process-1 | CNF written to cnf/v2/V_n675_k405/V_n675_k405_w195.cnf
2026-01-17 12:42:04,927 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/V_n675_k405/V_n675_k405_w195.cnf
2026-01-17 12:58:11,066 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=966.14s
2026-01-17 12:58:11,067 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=966.14s rc=10
2026-01-17 12:58:11,117 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 12:58:11,293 | INFO | MainProcess | Found a solution 195
2026-01-17 12:58:11,294 | INFO | MainProcess | [Test k=405, w=195] Time: 969.08 seconds
2026-01-17 12:58:12,034 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_VX.xlsx
2026-01-17 12:58:12,047 | INFO | Process-2 | Number of clauses before symmetry breaking: 1
2026-01-17 12:58:12,047 | INFO | Process-2 | Number of clauses after symmetry breaking: 202
2026-01-17 12:58:13,845 | INFO | Process-2 | Number of variables: 546751
2026-01-17 12:58:13,846 | INFO | Process-2 | Number of clauses: 2133392
2026-01-17 12:58:13,846 | INFO | Process-2 | Real nums of clauses: 2138332
2026-01-17 12:58:13,846 | INFO | Process-2 | Real nums of variables: 546750
2026-01-17 12:58:14,849 | INFO | Process-2 | CNF written to cnf/v2/V_n675_k405/V_n675_k405_w196.cnf
2026-01-17 12:58:14,853 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/V_n675_k405/V_n675_k405_w196.cnf
2026-01-17 13:12:02,237 | INFO | MainProcess | No solution found 196
2026-01-17 13:12:02,238 | INFO | MainProcess | [Test k=405, w=196] Time: 830.2 seconds
2026-01-17 13:12:02,272 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_VX.xlsx
2026-01-17 13:12:02,272 | INFO | MainProcess | $$$$
2026-01-17 13:12:02,272 | INFO | MainProcess | -195
2026-01-17 13:12:02,272 | INFO | MainProcess | $$$$
2026-01-17 13:12:02,272 | INFO | MainProcess | Time taken for V-nos6.mtx.rnd with k = 405: 1800.070959329605 seconds
2026-01-17 13:12:02,272 | INFO | MainProcess | Maximum width before timeout for V-nos6.mtx.rnd is 195
2026-01-17 13:12:02,272 | INFO | MainProcess | time out
2026-01-17 13:12:02,306 | INFO | Process-3 | Number of clauses before symmetry breaking: 1
2026-01-17 13:12:02,306 | INFO | Process-3 | Number of clauses after symmetry breaking: 250
2026-01-17 13:12:05,999 | INFO | Process-3 | Number of variables: 715001
2026-01-17 13:12:05,999 | INFO | Process-3 | Number of clauses: 4399955
2026-01-17 13:12:06,000 | INFO | Process-3 | Real nums of clauses: 4405035
2026-01-17 13:12:06,000 | INFO | Process-3 | Real nums of variables: 715000
2026-01-17 13:12:08,451 | INFO | Process-3 | CNF written to cnf/v2/X_n715_k500/X_n715_k500_w78.cnf
2026-01-17 13:12:08,452 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/X_n715_k500/X_n715_k500_w78.cnf
2026-01-17 13:12:47,776 | INFO | Process-3 | [PAINLESS] status=SAT rc=10 time=39.32s
2026-01-17 13:12:47,777 | RESULT | Process-3 | [PAINLESS] result: status=SAT time=39.32s rc=10
2026-01-17 13:12:47,847 | RESULT | Process-3 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 13:12:48,115 | INFO | MainProcess | Found a solution 78
2026-01-17 13:12:48,115 | INFO | MainProcess | [Test k=500, w=78] Time: 45.83 seconds
2026-01-17 13:12:48,142 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_VX.xlsx
2026-01-17 13:12:48,160 | INFO | Process-4 | Number of clauses before symmetry breaking: 1
2026-01-17 13:12:48,160 | INFO | Process-4 | Number of clauses after symmetry breaking: 250
2026-01-17 13:12:51,872 | INFO | Process-4 | Number of variables: 715001
2026-01-17 13:12:51,872 | INFO | Process-4 | Number of clauses: 4399963
2026-01-17 13:12:51,872 | INFO | Process-4 | Real nums of clauses: 4405035
2026-01-17 13:12:51,873 | INFO | Process-4 | Real nums of variables: 715000
2026-01-17 13:12:54,429 | INFO | Process-4 | CNF written to cnf/v2/X_n715_k500/X_n715_k500_w79.cnf
2026-01-17 13:12:54,430 | INFO | Process-4 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/X_n715_k500/X_n715_k500_w79.cnf
2026-01-17 13:14:22,883 | INFO | Process-4 | [PAINLESS] status=SAT rc=10 time=88.45s
2026-01-17 13:14:22,884 | RESULT | Process-4 | [PAINLESS] result: status=SAT time=88.45s rc=10
2026-01-17 13:14:22,957 | RESULT | Process-4 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 13:14:23,266 | INFO | MainProcess | Found a solution 79
2026-01-17 13:14:23,266 | INFO | MainProcess | [Test k=500, w=79] Time: 95.12 seconds
2026-01-17 13:14:23,290 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_VX.xlsx
2026-01-17 13:14:23,306 | INFO | Process-5 | Number of clauses before symmetry breaking: 1
2026-01-17 13:14:23,311 | INFO | Process-5 | Number of clauses after symmetry breaking: 250
2026-01-17 13:14:27,046 | INFO | Process-5 | Number of variables: 715001
2026-01-17 13:14:27,046 | INFO | Process-5 | Number of clauses: 4399971
2026-01-17 13:14:27,046 | INFO | Process-5 | Real nums of clauses: 4405035
2026-01-17 13:14:27,046 | INFO | Process-5 | Real nums of variables: 715000
2026-01-17 13:14:29,420 | INFO | Process-5 | CNF written to cnf/v2/X_n715_k500/X_n715_k500_w80.cnf
2026-01-17 13:14:29,420 | INFO | Process-5 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/X_n715_k500/X_n715_k500_w80.cnf
2026-01-17 13:14:54,535 | INFO | Process-5 | [PAINLESS] status=SAT rc=10 time=25.11s
2026-01-17 13:14:54,535 | RESULT | Process-5 | [PAINLESS] result: status=SAT time=25.11s rc=10
2026-01-17 13:14:54,606 | RESULT | Process-5 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 13:14:54,920 | INFO | MainProcess | Found a solution 80
2026-01-17 13:14:54,920 | INFO | MainProcess | [Test k=500, w=80] Time: 31.63 seconds
2026-01-17 13:14:54,941 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_VX.xlsx
2026-01-17 13:14:54,957 | INFO | Process-6 | Number of clauses before symmetry breaking: 1
2026-01-17 13:14:54,961 | INFO | Process-6 | Number of clauses after symmetry breaking: 250
2026-01-17 13:14:58,776 | INFO | Process-6 | Number of variables: 715001
2026-01-17 13:14:58,777 | INFO | Process-6 | Number of clauses: 4399979
2026-01-17 13:14:58,777 | INFO | Process-6 | Real nums of clauses: 4405035
2026-01-17 13:14:58,777 | INFO | Process-6 | Real nums of variables: 715000
2026-01-17 13:15:01,171 | INFO | Process-6 | CNF written to cnf/v2/X_n715_k500/X_n715_k500_w81.cnf
2026-01-17 13:15:01,171 | INFO | Process-6 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/X_n715_k500/X_n715_k500_w81.cnf
2026-01-17 13:16:55,395 | INFO | Process-6 | [PAINLESS] status=SAT rc=10 time=114.22s
2026-01-17 13:16:55,395 | RESULT | Process-6 | [PAINLESS] result: status=SAT time=114.22s rc=10
2026-01-17 13:16:55,463 | RESULT | Process-6 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 13:16:55,722 | INFO | MainProcess | Found a solution 81
2026-01-17 13:16:55,723 | INFO | MainProcess | [Test k=500, w=81] Time: 120.78 seconds
2026-01-17 13:16:55,742 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_VX.xlsx
2026-01-17 13:16:55,756 | INFO | Process-7 | Number of clauses before symmetry breaking: 1
2026-01-17 13:16:55,759 | INFO | Process-7 | Number of clauses after symmetry breaking: 250
2026-01-17 13:16:58,908 | INFO | Process-7 | Number of variables: 715001
2026-01-17 13:16:58,909 | INFO | Process-7 | Number of clauses: 4399987
2026-01-17 13:16:58,909 | INFO | Process-7 | Real nums of clauses: 4405035
2026-01-17 13:16:58,909 | INFO | Process-7 | Real nums of variables: 715000
2026-01-17 13:17:01,110 | INFO | Process-7 | CNF written to cnf/v2/X_n715_k500/X_n715_k500_w82.cnf
2026-01-17 13:17:01,116 | INFO | Process-7 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/X_n715_k500/X_n715_k500_w82.cnf
2026-01-17 13:18:41,998 | INFO | Process-7 | [PAINLESS] status=SAT rc=10 time=100.88s
2026-01-17 13:18:41,998 | RESULT | Process-7 | [PAINLESS] result: status=SAT time=100.88s rc=10
2026-01-17 13:18:42,067 | RESULT | Process-7 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-17 13:18:42,312 | INFO | MainProcess | Found a solution 82
2026-01-17 13:18:42,312 | INFO | MainProcess | [Test k=500, w=82] Time: 106.57 seconds
2026-01-17 13:18:42,332 | INFO | MainProcess | Data append to output/version2fixed/output_version_2_fixed_VX.xlsx
2026-01-17 13:18:42,347 | INFO | Process-8 | Number of clauses before symmetry breaking: 1
2026-01-17 13:18:42,349 | INFO | Process-8 | Number of clauses after symmetry breaking: 250
2026-01-17 13:18:45,585 | INFO | Process-8 | Number of variables: 715001
2026-01-17 13:18:45,586 | INFO | Process-8 | Number of clauses: 4399995
2026-01-17 13:18:45,586 | INFO | Process-8 | Real nums of clauses: 4405035
