2026-01-07 10:33:44,451 | INFO | MainProcess | === Start solve() ===
2026-01-07 10:33:44,840 | INFO | Process-1 | Number of clauses before symmetry breaking: 1
2026-01-07 10:33:44,840 | INFO | Process-1 | Number of clauses after symmetry breaking: 166
2026-01-07 10:33:46,817 | INFO | Process-1 | Number of variables: 444112
2026-01-07 10:33:46,817 | INFO | Process-1 | Number of clauses: 2152334
2026-01-07 10:33:46,817 | INFO | Process-1 | Real nums of clauses: 2155781
2026-01-07 10:33:46,817 | INFO | Process-1 | Real nums of variables: 444110
2026-01-07 10:33:47,840 | INFO | Process-1 | CNF written to cnf/v2\P_n445_k333\P_n445_k333_w58.cnf
2026-01-07 10:33:47,840 | ERROR | Process-1 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-07 10:36:29,935 | RESULT | Process-1 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-07 10:36:30,166 | INFO | MainProcess | Found a solution 58
2026-01-07 10:36:30,167 | INFO | MainProcess | [Test k=333, w=58] Time: 165.71 seconds
2026-01-07 10:36:30,633 | INFO | Process-2 | Number of clauses before symmetry breaking: 1
2026-01-07 10:36:30,634 | INFO | Process-2 | Number of clauses after symmetry breaking: 166
2026-01-07 10:36:34,026 | INFO | Process-2 | Number of variables: 444112
2026-01-07 10:36:34,026 | INFO | Process-2 | Number of clauses: 2152343
2026-01-07 10:36:34,026 | INFO | Process-2 | Real nums of clauses: 2155781
2026-01-07 10:36:34,026 | INFO | Process-2 | Real nums of variables: 444110
2026-01-07 10:36:35,710 | INFO | Process-2 | CNF written to cnf/v2\P_n445_k333\P_n445_k333_w59.cnf
2026-01-07 10:36:35,710 | ERROR | Process-2 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-07 10:39:13,576 | RESULT | Process-2 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-07 10:39:13,818 | INFO | MainProcess | Found a solution 59
2026-01-07 10:39:13,818 | INFO | MainProcess | [Test k=333, w=59] Time: 163.65 seconds
2026-01-07 10:39:14,328 | INFO | Process-3 | Number of clauses before symmetry breaking: 1
2026-01-07 10:39:14,328 | INFO | Process-3 | Number of clauses after symmetry breaking: 166
2026-01-07 10:39:17,765 | INFO | Process-3 | Number of variables: 444112
2026-01-07 10:39:17,766 | INFO | Process-3 | Number of clauses: 2152352
2026-01-07 10:39:17,766 | INFO | Process-3 | Real nums of clauses: 2155781
2026-01-07 10:39:17,766 | INFO | Process-3 | Real nums of variables: 444110
2026-01-07 10:39:19,466 | INFO | Process-3 | CNF written to cnf/v2\P_n445_k333\P_n445_k333_w60.cnf
