2026-01-09 14:08:40,094 | INFO | MainProcess | === Start solve() ===
2026-01-09 14:08:40,156 | INFO | Process-1 | Number of clauses before symmetry breaking: 1
2026-01-09 14:08:40,157 | INFO | Process-1 | Number of clauses after symmetry breaking: 166
2026-01-09 14:08:47,633 | INFO | Process-1 | Number of variables: 444112
2026-01-09 14:08:47,640 | INFO | Process-1 | Number of clauses: 2152334
2026-01-09 14:08:47,640 | INFO | Process-1 | Real nums of clauses: 2155781
2026-01-09 14:08:47,641 | INFO | Process-1 | Real nums of variables: 444110
2026-01-09 14:08:50,748 | INFO | Process-1 | CNF written to cnf/v2/P_n445_k333/P_n445_k333_w58.cnf
2026-01-09 14:08:50,749 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=ck cnf/v2/P_n445_k333/P_n445_k333_w58.cnf
2026-01-09 14:10:31,657 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=100.91s
2026-01-09 14:10:31,658 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=100.91s rc=10
2026-01-09 14:10:31,837 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-09 14:10:32,882 | INFO | MainProcess | Found a solution 58
2026-01-09 14:10:32,882 | INFO | MainProcess | [Test k=333, w=58] Time: 112.78 seconds
2026-01-09 14:10:32,907 | INFO | Process-2 | Number of clauses before symmetry breaking: 1
2026-01-09 14:10:32,917 | INFO | Process-2 | Number of clauses after symmetry breaking: 166
2026-01-09 14:10:41,014 | INFO | Process-2 | Number of variables: 444112
2026-01-09 14:10:41,015 | INFO | Process-2 | Number of clauses: 2152343
2026-01-09 14:10:41,015 | INFO | Process-2 | Real nums of clauses: 2155781
2026-01-09 14:10:41,015 | INFO | Process-2 | Real nums of variables: 444110
2026-01-09 14:10:44,234 | INFO | Process-2 | CNF written to cnf/v2/P_n445_k333/P_n445_k333_w59.cnf
2026-01-09 14:10:44,235 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=ck cnf/v2/P_n445_k333/P_n445_k333_w59.cnf
2026-01-09 14:12:49,210 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=124.97s
2026-01-09 14:12:49,210 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=124.97s rc=10
2026-01-09 14:12:49,388 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-09 14:12:50,374 | INFO | MainProcess | Found a solution 59
2026-01-09 14:12:50,374 | INFO | MainProcess | [Test k=333, w=59] Time: 137.49 seconds
2026-01-09 14:12:50,411 | INFO | Process-3 | Number of clauses before symmetry breaking: 1
2026-01-09 14:12:50,417 | INFO | Process-3 | Number of clauses after symmetry breaking: 166
2026-01-09 14:12:57,954 | INFO | Process-3 | Number of variables: 444112
2026-01-09 14:12:57,957 | INFO | Process-3 | Number of clauses: 2152352
2026-01-09 14:12:57,957 | INFO | Process-3 | Real nums of clauses: 2155781
2026-01-09 14:12:57,958 | INFO | Process-3 | Real nums of variables: 444110
2026-01-09 14:13:01,104 | INFO | Process-3 | CNF written to cnf/v2/P_n445_k333/P_n445_k333_w60.cnf
