2026-01-09 12:56:17,945 | INFO | MainProcess | === Start solve() ===
2026-01-09 12:56:17,970 | INFO | Process-1 | Number of clauses before symmetry breaking: 1
2026-01-09 12:56:17,971 | INFO | Process-1 | Number of clauses after symmetry breaking: 110
2026-01-09 12:56:18,968 | INFO | Process-1 | Number of variables: 281352
2026-01-09 12:56:18,969 | INFO | Process-1 | Number of clauses: 1213837
2026-01-09 12:56:18,969 | INFO | Process-1 | Real nums of clauses: 1215695
2026-01-09 12:56:18,969 | INFO | Process-1 | Real nums of variables: 281350
2026-01-09 12:56:19,558 | INFO | Process-1 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w47.cnf
2026-01-09 12:56:19,562 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=18 -solver=cckkll cnf/v2/O_n425_k221/O_n425_k221_w47.cnf
2026-01-09 12:56:22,768 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=3.21s
2026-01-09 12:56:22,769 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=3.21s rc=10
2026-01-09 12:56:22,795 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-09 12:56:22,864 | INFO | MainProcess | Found a solution 47
2026-01-09 12:56:22,865 | INFO | MainProcess | [Test k=221, w=47] Time: 4.91 seconds
2026-01-09 12:56:22,870 | INFO | Process-2 | Number of clauses before symmetry breaking: 1
2026-01-09 12:56:22,871 | INFO | Process-2 | Number of clauses after symmetry breaking: 110
2026-01-09 12:56:23,793 | INFO | Process-2 | Number of variables: 281352
2026-01-09 12:56:23,793 | INFO | Process-2 | Number of clauses: 1213844
2026-01-09 12:56:23,793 | INFO | Process-2 | Real nums of clauses: 1215695
2026-01-09 12:56:23,793 | INFO | Process-2 | Real nums of variables: 281350
2026-01-09 12:56:24,334 | INFO | Process-2 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w48.cnf
2026-01-09 12:56:24,338 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=18 -solver=cckkll cnf/v2/O_n425_k221/O_n425_k221_w48.cnf
2026-01-09 12:56:27,755 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=3.42s
2026-01-09 12:56:27,755 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=3.42s rc=10
2026-01-09 12:56:27,782 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-09 12:56:27,853 | INFO | MainProcess | Found a solution 48
2026-01-09 12:56:27,853 | INFO | MainProcess | [Test k=221, w=48] Time: 4.99 seconds
2026-01-09 12:56:27,858 | INFO | Process-3 | Number of clauses before symmetry breaking: 1
2026-01-09 12:56:27,859 | INFO | Process-3 | Number of clauses after symmetry breaking: 110
