2026-01-08 01:36:11,322 | INFO | MainProcess | === Start solve() ===
2026-01-08 01:36:11,341 | INFO | Process-1 | Number of clauses before symmetry breaking: 1
2026-01-08 01:36:11,342 | INFO | Process-1 | Number of clauses after symmetry breaking: 110
2026-01-08 01:36:12,250 | INFO | Process-1 | Number of variables: 281352
2026-01-08 01:36:12,250 | INFO | Process-1 | Number of clauses: 1213837
2026-01-08 01:36:12,250 | INFO | Process-1 | Real nums of clauses: 1215695
2026-01-08 01:36:12,250 | INFO | Process-1 | Real nums of variables: 281350
2026-01-08 01:36:12,871 | INFO | Process-1 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w47.cnf
2026-01-08 01:36:12,875 | INFO | Process-1 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/O_n425_k221/O_n425_k221_w47.cnf
2026-01-08 01:36:14,451 | INFO | Process-1 | [PAINLESS] status=SAT rc=10 time=1.58s
2026-01-08 01:36:14,451 | RESULT | Process-1 | [PAINLESS] result: status=SAT time=1.58s rc=10
2026-01-08 01:36:14,475 | RESULT | Process-1 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-08 01:36:14,537 | INFO | MainProcess | Found a solution 47
2026-01-08 01:36:14,537 | INFO | MainProcess | [Test k=221, w=47] Time: 3.21 seconds
2026-01-08 01:36:14,542 | INFO | Process-2 | Number of clauses before symmetry breaking: 1
2026-01-08 01:36:14,543 | INFO | Process-2 | Number of clauses after symmetry breaking: 110
2026-01-08 01:36:15,379 | INFO | Process-2 | Number of variables: 281352
2026-01-08 01:36:15,379 | INFO | Process-2 | Number of clauses: 1213844
2026-01-08 01:36:15,379 | INFO | Process-2 | Real nums of clauses: 1215695
2026-01-08 01:36:15,380 | INFO | Process-2 | Real nums of variables: 281350
2026-01-08 01:36:15,962 | INFO | Process-2 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w48.cnf
2026-01-08 01:36:15,973 | INFO | Process-2 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/O_n425_k221/O_n425_k221_w48.cnf
2026-01-08 01:36:17,633 | INFO | Process-2 | [PAINLESS] status=SAT rc=10 time=1.66s
2026-01-08 01:36:17,633 | RESULT | Process-2 | [PAINLESS] result: status=SAT time=1.66s rc=10
2026-01-08 01:36:17,658 | RESULT | Process-2 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-08 01:36:17,722 | INFO | MainProcess | Found a solution 48
2026-01-08 01:36:17,723 | INFO | MainProcess | [Test k=221, w=48] Time: 3.19 seconds
2026-01-08 01:36:17,728 | INFO | Process-3 | Number of clauses before symmetry breaking: 1
2026-01-08 01:36:17,728 | INFO | Process-3 | Number of clauses after symmetry breaking: 110
2026-01-08 01:36:18,569 | INFO | Process-3 | Number of variables: 281352
2026-01-08 01:36:18,570 | INFO | Process-3 | Number of clauses: 1213851
2026-01-08 01:36:18,570 | INFO | Process-3 | Real nums of clauses: 1215695
2026-01-08 01:36:18,570 | INFO | Process-3 | Real nums of variables: 281350
2026-01-08 01:36:19,136 | INFO | Process-3 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w49.cnf
2026-01-08 01:36:19,141 | INFO | Process-3 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk cnf/v2/O_n425_k221/O_n425_k221_w49.cnf
2026-01-08 01:36:20,581 | INFO | Process-3 | [PAINLESS] status=SAT rc=10 time=1.44s
2026-01-08 01:36:20,581 | RESULT | Process-3 | [PAINLESS] result: status=SAT time=1.44s rc=10
2026-01-08 01:36:20,605 | RESULT | Process-3 | [VALIDATE][PAINLESS] True | VALID SOLUTION
2026-01-08 01:36:20,669 | INFO | MainProcess | Found a solution 49
2026-01-08 01:36:20,670 | INFO | MainProcess | [Test k=221, w=49] Time: 2.95 seconds
2026-01-08 01:36:20,674 | INFO | Process-4 | Number of clauses before symmetry breaking: 1
2026-01-08 01:36:20,675 | INFO | Process-4 | Number of clauses after symmetry breaking: 110
2026-01-08 01:36:21,492 | INFO | Process-4 | Number of variables: 281352
2026-01-08 01:36:21,492 | INFO | Process-4 | Number of clauses: 1213858
2026-01-08 01:36:21,492 | INFO | Process-4 | Real nums of clauses: 1215695
2026-01-08 01:36:21,492 | INFO | Process-4 | Real nums of variables: 281350
2026-01-08 01:36:22,044 | INFO | Process-4 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w50.cnf
